Date,Pressure in hPa,T,F,A,PW ABQ 12Z (5AM),PW ABQ 00Z (6 PM),PW ELP 12Z,PW ELP 00Z,try PW A,try PW F
3/25/19,856.756,NaN,NaN,-36.1,4.06,4.46,6.09,5.31,10.4256,#VALUE!
3/26/19,861.497,NaN,NaN,-23.8,3.44,n,4.26,6.28,10.34817857,#VALUE!
3/27/19,857.772,NaN,NaN,-15.1,11.51,8.66,10.48,n,10.29376447,#VALUE!
3/28/19,856.079,NaN,NaN,-26.5,9.64,4.13,10.28,7.21,10.36512412,#VALUE!
