"date"		"model"		"temp"		"suominet"		"aeronet"
2020-08-13		12.49		-13.37		NA		19.2
2020-08-14		12		-14.47		NA		16.4
2020-08-16		11.51		-15.63		NA		16.4
2020-08-17		14.15		-9.9		NA		15.9
2020-08-18		12.15		-14.13		NA		16.6
2020-08-19		14.16		-9.87		NA		16.8
2020-08-21		12.93		-12.4		NA		14.4
2020-08-22		14.15		-9.9		NA		13.8
2020-08-23		13.86		-10.47		NA		16.3
2020-08-24		14.04		-10.1		NA		16.7
2020-08-25		15.7		-7		NA		16.5
2020-08-26		13.79		-10.6		NA		18.8
2020-08-28		11.87		-14.77		NA		19
2020-09-02		9.86		-19.93		11.5		10.8
2020-09-03		11.51		-15.63		10.3		9.2
2020-09-04		12.12		-14.2		12		13.5
2020-09-05		11.84		-14.83		14.7		15.8
2020-09-06		12.85		-12.57		14.6		12.6
2020-09-07		12.47		-13.4		11.5		9.4
2020-09-11		12.91		-12.43		11.4		9.7
2020-09-12		11.89		-14.73		9.5		6.9
2020-09-13		10.5		-18.17		7.9		7.9
2020-09-14		10		-19.53		10		9.7
2020-09-15		12.43		-13.5		11.3		10.9
2020-09-16		13.99		-10.2		10.4		9.7
2020-09-17		9.96		-19.63		10.3		9.5
2020-09-18		9.99		-19.57		8.8		9.4
2020-09-19		9.79		-20.13		9.6		10.5
2020-09-20		12.84		-12.6		10.3		11.1
2020-09-21		10.19		-19		11		11.1
2020-09-22		9.43		-21.17		13		12.2
2020-09-23		8.92		-22.7		15.6		13.7
2020-09-24		12.81		-12.65		13.3		10.3
2020-09-25		9.76		-20.2		10.7		8.8
2020-09-26		9.32		-21.5		10.7		8.3
2020-09-27		9.86		-19.93		9.6		7.3
2020-09-28		10.05		-19.4		8.3		7.1
2020-09-29		9.14		-22.03		7.3		5.9
2020-09-30		9.26		-21.67		4.8		3.8
2020-10-01		9.89		-19.83		5.1		7.5
2020-10-02		8.97		-22.57		6.3		5.7
2020-10-03		9.47		-21.03		5.9		4.9
2020-10-04		11.77		-15		6.2		7.3
2020-10-05		11.09		-16.65		5.3		4.2
2020-10-06		11.5		-15.65		4.5		3.9
2020-10-07		10.57		-18		5.1		4.4
2020-10-08		11.13		-16.55		5.4		4.9
2020-10-09		11.77		-15		7.5		6.7
2020-10-10		10.95		-17		6.5		5
2020-10-11		8.97		-22.57		7.3		5.6
2020-10-12		10.57		-18		7.5		5
2020-10-13		9.62		-20.6		5.6		4
2020-10-14		11.46		-15.75		6		3.8
2020-10-15		11.9		-14.7		6.2		6.8
2020-10-16		11.21		-16.35		5.8		6.5
2020-10-17		11.38		-15.95		6.7		5.3
2020-10-18		10.82		-17.35		5.5		NA
2020-10-19		10.34		-18.6		5.5		5
2020-10-20		9.3		-21.55		4.9		NA
2020-10-21		7.89		-26.1		4.4		4.2
2020-10-22		9.17		-21.95		7.1		7.6
2020-10-23		10.61		-17.9		8.6		8.4
2020-10-28		9.26		-21.67		8.1		7.7
2020-10-29		8.56		-23.85		9		7.6
2020-10-30		7.63		-27.05		5.6		6.2
2020-10-31		8.01		-25.7		6.9		6.8
2020-11-01		11.4		-15.9		6.7		8.1
2020-11-02		6.05		-33.5		6.7		7
2020-11-03		8.39		-24.4		5.8		6.3
2020-11-04		8.04		-25.6		10.5		9.2
2020-11-05		6.86		-30		6.9		6.6
2020-11-06		8.39		-24.4		6.3		5.7
2020-11-09		8.83		-23		3.6		5.5
2020-11-10		8.13		-25.3		3.4		3.1
2020-11-13		8.73		-23.3		6.4		NA
2020-11-14		7.28		-28.35		NA		4.9
2020-11-15		8.72		-23.35		NA		4.7
2020-11-16		8.18		-25.1		4		4.8
2020-11-17		8.53		-23.95		4.4		5.6
2020-11-18		8.11		-25.35		8.3		10.5
2020-11-19		8.07		-25.5		9.3		9.1
2020-11-20		8.17		-25.15		8.5		8.9
2020-11-22		5.94		-34		9.3		NA
2020-11-23		6.41		-31.9		8.6		NA
2020-11-24		8.27		-24.8		4.9		5.3
2020-11-25		5.63		-35.5		4.4		3.8
2020-11-28		8.99		-22.5		5.2		6.1
2020-11-29		8.64		-23.6		2.7		3.4
2020-11-30		8.35		-24.55		2.4		3.2
2020-12-01		8.02		-25.65		3.8		3.2
2020-12-03		4.14		-44		3.8		3.6
2020-12-04		5		-38.8		3.8		4.5
2020-12-05		4.87		-39.5		5.7		4.7
2020-12-06		4.11		-44.2		4.4		2.9
2020-12-07		4.62		-41		3.4		3.2
2020-12-08		4.87		-39.5		3.7		2.8
2020-12-09		4.16		-43.9		3.7		2.7
2020-12-14		4.52		-41.6		2.2		3.9
2020-12-18		5		-38.8		4.1		4.9
2020-12-19		5		-38.8		4.4		4.2
2020-12-20		5.41		-36.6		3.9		3.3
2020-12-21		5.92		-34.1		3.6		4.9
2020-12-22		5.35		-36.9		3.5		3.1
2020-12-23		4.06		-44.6		3.1		1.9
2020-12-25		4.6		-41.1		3.5		3.1
2020-12-26		5.22		-37.6		4		3.8
2020-12-27		4.91		-39.3		6.4		5.8
2020-12-28		6.34		-32.2		4.6		7.8
2020-12-30		3.55		-48.3		2.8		3.2
