Date,time,Conditions,AMES 2 (Sky),AMES 2 (Ground),comments
5/28/2021,3:29,overcast,-8.7,26.8,Very thin high cloud cover
5/29/2021,3:49,clear,-Inf,-Inf,,Storm had just past; battery issues
5/30/2021,4:34,overcast,-Inf,-Inf,low fluffy cloud; battery issues
5/31/2021,3:21,clear,-13,39.4,
6/1/2021,3:59,clear,-6.8,42.2,
6/2/2021,0:00,NaN,-Inf,-Inf, No Measurements taken
6/3/2021,4:32,clear,-5.6,46.1,
