*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
80.,125.000,1.27E-06,8.10E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-06,8.10E-07,3.68E-05,0.00000
82.,121.951,1.32E-06,8.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-06,8.90E-07,3.95E-05,0.00000
84.,119.048,1.38E-06,9.75E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-06,9.75E-07,4.23E-05,0.00000
86.,116.279,1.44E-06,1.07E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-06,1.07E-06,4.51E-05,0.00000
88.,113.636,1.50E-06,1.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-06,1.16E-06,4.81E-05,0.00000
90.,111.111,1.56E-06,1.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-06,1.26E-06,5.13E-05,0.00000
92.,108.696,1.62E-06,1.37E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E-06,1.37E-06,5.45E-05,0.00000
94.,106.383,1.68E-06,1.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-06,1.49E-06,5.79E-05,0.00000
96.,104.167,1.75E-06,1.61E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-06,1.61E-06,6.14E-05,0.00000
98.,102.041,1.81E-06,1.74E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-06,1.74E-06,6.50E-05,0.00000
100.,100.000,1.88E-06,1.88E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-06,1.88E-06,6.87E-05,0.00000
102.,98.039,1.94E-06,2.02E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-06,2.02E-06,7.26E-05,0.00000
104.,96.154,2.01E-06,2.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-06,2.17E-06,7.66E-05,0.00000
106.,94.340,2.07E-06,2.33E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.07E-06,2.33E-06,8.08E-05,0.00000
108.,92.593,2.14E-06,2.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E-06,2.50E-06,8.51E-05,0.00000
110.,90.909,2.21E-06,2.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E-06,2.67E-06,8.95E-05,0.00000
112.,89.286,2.28E-06,2.86E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-06,2.86E-06,9.41E-05,0.00000
114.,87.719,2.35E-06,3.05E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-06,3.05E-06,9.88E-05,0.00000
116.,86.207,2.42E-06,3.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-06,3.26E-06,1.04E-04,0.00000
118.,84.746,2.49E-06,3.47E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.49E-06,3.47E-06,1.09E-04,0.00000
120.,83.333,2.56E-06,3.69E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.56E-06,3.69E-06,1.14E-04,0.00000
122.,81.967,2.63E-06,3.92E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.63E-06,3.92E-06,1.19E-04,0.00000
124.,80.645,2.71E-06,4.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-06,4.16E-06,1.24E-04,0.00000
126.,79.365,2.78E-06,4.41E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.78E-06,4.41E-06,1.30E-04,0.00000
128.,78.125,2.85E-06,4.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E-06,4.67E-06,1.36E-04,0.00000
130.,76.923,2.93E-06,4.94E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-06,4.94E-06,1.41E-04,0.00000
132.,75.758,3.00E-06,5.23E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-06,5.23E-06,1.47E-04,0.00000
134.,74.627,3.07E-06,5.52E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.07E-06,5.52E-06,1.54E-04,0.00000
136.,73.529,3.15E-06,5.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E-06,5.83E-06,1.60E-04,0.00000
138.,72.464,3.23E-06,6.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.23E-06,6.14E-06,1.66E-04,0.00000
140.,71.429,3.30E-06,6.47E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-06,6.47E-06,1.73E-04,0.00000
142.,70.423,3.38E-06,6.81E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E-06,6.81E-06,1.80E-04,0.00000
144.,69.444,3.45E-06,7.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E-06,7.16E-06,1.87E-04,0.00000
146.,68.493,3.53E-06,7.53E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.53E-06,7.53E-06,1.94E-04,0.00000
148.,67.568,3.61E-06,7.91E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.61E-06,7.91E-06,2.01E-04,0.00000
