*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
32.,312.500,2.29E-07,2.35E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.29E-07,2.35E-08,2.68E-06,0.00000
34.,294.118,2.57E-07,2.98E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-07,2.98E-08,3.20E-06,0.00000
36.,277.778,2.87E-07,3.72E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.87E-07,3.72E-08,3.77E-06,0.00000
38.,263.158,3.19E-07,4.60E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-07,4.60E-08,4.41E-06,0.00000
40.,250.000,3.51E-07,5.62E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E-07,5.62E-08,5.11E-06,0.00000
42.,238.095,3.85E-07,6.79E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.85E-07,6.79E-08,5.88E-06,0.00000
44.,227.273,4.20E-07,8.14E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E-07,8.14E-08,6.72E-06,0.00000
46.,217.391,4.57E-07,9.67E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-07,9.67E-08,7.64E-06,0.00000
48.,208.333,4.95E-07,1.14E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.95E-07,1.14E-07,8.63E-06,0.00000
50.,200.000,5.34E-07,1.34E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.34E-07,1.34E-07,9.70E-06,0.00000
52.,192.308,5.75E-07,1.56E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.75E-07,1.56E-07,1.08E-05,0.00000
54.,185.185,6.17E-07,1.80E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.17E-07,1.80E-07,1.21E-05,0.00000
56.,178.571,6.60E-07,2.07E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.60E-07,2.07E-07,1.34E-05,0.00000
58.,172.414,7.05E-07,2.37E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.05E-07,2.37E-07,1.48E-05,0.00000
60.,166.667,7.50E-07,2.70E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.50E-07,2.70E-07,1.63E-05,0.00000
62.,161.290,7.97E-07,3.06E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.97E-07,3.06E-07,1.79E-05,0.00000
64.,156.250,8.45E-07,3.46E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.45E-07,3.46E-07,1.96E-05,0.00000
66.,151.515,8.94E-07,3.89E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.94E-07,3.89E-07,2.14E-05,0.00000
68.,147.059,9.44E-07,4.36E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.44E-07,4.36E-07,2.33E-05,0.00000
70.,142.857,9.95E-07,4.88E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.95E-07,4.88E-07,2.53E-05,0.00000
72.,138.889,1.05E-06,5.43E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-06,5.43E-07,2.74E-05,0.00000
74.,135.135,1.10E-06,6.03E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-06,6.03E-07,2.96E-05,0.00000
76.,131.579,1.15E-06,6.67E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.15E-06,6.67E-07,3.19E-05,0.00000
78.,128.205,1.21E-06,7.36E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E-06,7.36E-07,3.43E-05,0.00000
80.,125.000,1.27E-06,8.10E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-06,8.10E-07,3.68E-05,0.00000
82.,121.951,1.32E-06,8.90E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-06,8.90E-07,3.95E-05,0.00000
84.,119.048,1.38E-06,9.75E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-06,9.75E-07,4.22E-05,0.00000
86.,116.279,1.44E-06,1.07E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-06,1.07E-06,4.51E-05,0.00000
88.,113.636,1.50E-06,1.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-06,1.16E-06,4.81E-05,0.00000
90.,111.111,1.56E-06,1.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.56E-06,1.26E-06,5.12E-05,0.00000
92.,108.696,1.62E-06,1.37E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.62E-06,1.37E-06,5.45E-05,0.00000
94.,106.383,1.68E-06,1.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.68E-06,1.49E-06,5.78E-05,0.00000
96.,104.167,1.75E-06,1.61E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.75E-06,1.61E-06,6.13E-05,0.00000
98.,102.041,1.81E-06,1.74E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-06,1.74E-06,6.50E-05,0.00000
100.,100.000,1.88E-06,1.88E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-06,1.88E-06,6.87E-05,0.00000
102.,98.039,1.94E-06,2.02E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.94E-06,2.02E-06,7.26E-05,0.00000
104.,96.154,2.01E-06,2.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.01E-06,2.17E-06,7.66E-05,0.00000
106.,94.340,2.08E-06,2.33E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.08E-06,2.33E-06,8.08E-05,0.00000
108.,92.593,2.14E-06,2.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.14E-06,2.50E-06,8.51E-05,0.00000
110.,90.909,2.21E-06,2.68E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.21E-06,2.68E-06,8.95E-05,0.00000
112.,89.286,2.28E-06,2.86E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.28E-06,2.86E-06,9.40E-05,0.00000
114.,87.719,2.35E-06,3.05E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-06,3.05E-06,9.87E-05,0.00000
116.,86.207,2.42E-06,3.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.42E-06,3.26E-06,1.04E-04,0.00000
118.,84.746,2.49E-06,3.47E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.49E-06,3.47E-06,1.09E-04,0.00000
120.,83.333,2.56E-06,3.69E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.56E-06,3.69E-06,1.14E-04,0.00000
122.,81.967,2.63E-06,3.92E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.63E-06,3.92E-06,1.19E-04,0.00000
124.,80.645,2.71E-06,4.16E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.71E-06,4.16E-06,1.24E-04,0.00000
126.,79.365,2.78E-06,4.41E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.78E-06,4.41E-06,1.30E-04,0.00000
128.,78.125,2.85E-06,4.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.85E-06,4.67E-06,1.36E-04,0.00000
130.,76.923,2.93E-06,4.94E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-06,4.94E-06,1.41E-04,0.00000
132.,75.758,3.00E-06,5.23E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-06,5.23E-06,1.47E-04,0.00000
134.,74.627,3.07E-06,5.52E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.07E-06,5.52E-06,1.54E-04,0.00000
136.,73.529,3.15E-06,5.83E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E-06,5.83E-06,1.60E-04,0.00000
138.,72.464,3.23E-06,6.14E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.23E-06,6.14E-06,1.66E-04,0.00000
140.,71.429,3.30E-06,6.47E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-06,6.47E-06,1.73E-04,0.00000
142.,70.423,3.38E-06,6.81E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E-06,6.81E-06,1.80E-04,0.00000
144.,69.444,3.46E-06,7.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E-06,7.17E-06,1.87E-04,0.00000
146.,68.493,3.53E-06,7.53E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.53E-06,7.53E-06,1.94E-04,0.00000
