*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==0.5)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
80.,125.000,1.21E-06,7.77E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.21E-06,7.77E-07,3.54E-05,0.00000
82.,121.951,1.27E-06,8.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-06,8.53E-07,3.79E-05,0.00000
84.,119.048,1.32E-06,9.34E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.32E-06,9.34E-07,4.06E-05,0.00000
86.,116.279,1.38E-06,1.02E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-06,1.02E-06,4.33E-05,0.00000
88.,113.636,1.44E-06,1.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-06,1.11E-06,4.62E-05,0.00000
90.,111.111,1.49E-06,1.21E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-06,1.21E-06,4.92E-05,0.00000
92.,108.696,1.55E-06,1.31E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.55E-06,1.31E-06,5.23E-05,0.00000
94.,106.383,1.61E-06,1.43E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.61E-06,1.43E-06,5.55E-05,0.00000
96.,104.167,1.67E-06,1.54E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-06,1.54E-06,5.89E-05,0.00000
98.,102.041,1.73E-06,1.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.73E-06,1.67E-06,6.23E-05,0.00000
100.,100.000,1.80E-06,1.80E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-06,1.80E-06,6.59E-05,0.00000
102.,98.039,1.86E-06,1.93E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.86E-06,1.93E-06,6.96E-05,0.00000
104.,96.154,1.92E-06,2.08E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.92E-06,2.08E-06,7.35E-05,0.00000
106.,94.340,1.98E-06,2.23E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-06,2.23E-06,7.74E-05,0.00000
108.,92.593,2.05E-06,2.39E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-06,2.39E-06,8.15E-05,0.00000
110.,90.909,2.11E-06,2.56E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11E-06,2.56E-06,8.58E-05,0.00000
112.,89.286,2.18E-06,2.73E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.18E-06,2.73E-06,9.01E-05,0.00000
114.,87.719,2.24E-06,2.92E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.24E-06,2.92E-06,9.46E-05,0.00000
116.,86.207,2.31E-06,3.11E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-06,3.11E-06,9.92E-05,0.00000
118.,84.746,2.38E-06,3.31E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E-06,3.31E-06,1.04E-04,0.00000
120.,83.333,2.45E-06,3.52E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.45E-06,3.52E-06,1.09E-04,0.00000
122.,81.967,2.51E-06,3.74E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E-06,3.74E-06,1.14E-04,0.00000
124.,80.645,2.58E-06,3.97E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.58E-06,3.97E-06,1.19E-04,0.00000
126.,79.365,2.65E-06,4.21E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.65E-06,4.21E-06,1.24E-04,0.00000
128.,78.125,2.72E-06,4.46E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.72E-06,4.46E-06,1.30E-04,0.00000
130.,76.923,2.79E-06,4.72E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.79E-06,4.72E-06,1.35E-04,0.00000
132.,75.758,2.86E-06,4.98E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.86E-06,4.98E-06,1.41E-04,0.00000
134.,74.627,2.93E-06,5.26E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-06,5.26E-06,1.47E-04,0.00000
136.,73.529,3.00E-06,5.55E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.00E-06,5.55E-06,1.53E-04,0.00000
138.,72.464,3.07E-06,5.85E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.07E-06,5.85E-06,1.59E-04,0.00000
140.,71.429,3.15E-06,6.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.15E-06,6.17E-06,1.65E-04,0.00000
142.,70.423,3.22E-06,6.49E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.22E-06,6.49E-06,1.72E-04,0.00000
144.,69.444,3.29E-06,6.82E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.29E-06,6.82E-06,1.78E-04,0.00000
146.,68.493,3.36E-06,7.17E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.36E-06,7.17E-06,1.85E-04,0.00000
148.,67.568,3.44E-06,7.53E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.44E-06,7.53E-06,1.92E-04,0.00000
150.,66.667,3.51E-06,7.90E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.51E-06,7.90E-06,1.99E-04,0.00000
152.,65.789,3.58E-06,8.28E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.58E-06,8.28E-06,2.06E-04,0.00000
154.,64.935,3.66E-06,8.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.66E-06,8.67E-06,2.14E-04,0.00000
156.,64.103,3.73E-06,9.08E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.73E-06,9.08E-06,2.21E-04,0.00000
158.,63.291,3.81E-06,9.50E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.81E-06,9.50E-06,2.29E-04,0.00000
160.,62.500,3.88E-06,9.93E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.88E-06,9.93E-06,2.36E-04,0.00000
162.,61.728,3.96E-06,1.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.96E-06,1.04E-05,2.44E-04,0.00000
164.,60.976,4.03E-06,1.08E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.03E-06,1.08E-05,2.52E-04,0.00000
166.,60.241,4.10E-06,1.13E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-06,1.13E-05,2.61E-04,0.00000
168.,59.524,4.18E-06,1.18E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.18E-06,1.18E-05,2.69E-04,0.00000
