wavelength, Radiance (T-5), Radiance (T), Radiance (T+5)
18.939,0.000261,0.000274,0.000287
18.868,0.000193,0.000199,0.000207
18.797,0.000185,0.000192,0.000199
18.727,0.000238,0.000251,0.000265
18.657,0.000288,0.000304,0.00032
18.587,0.000238,0.000249,0.000262
18.519,0.000226,0.000237,0.000248
18.45,0.000245,0.000256,0.000267
18.382,0.000282,0.000296,0.000311
18.315,0.000358,0.000377,0.000397
18.248,0.000332,0.000351,0.000371
18.182,0.000303,0.000322,0.000341
18.116,0.000253,0.000267,0.000282
18.051,0.000257,0.00027,0.000282
17.986,0.000251,0.000265,0.000279
17.921,0.000197,0.000209,0.000221
17.857,0.000166,0.000173,0.000181
17.794,0.000216,0.000225,0.000235
17.73,0.000261,0.000274,0.000287
17.668,0.000293,0.000308,0.000324
17.606,0.000383,0.000404,0.000426
17.544,0.000372,0.000395,0.000419
17.483,0.000272,0.000291,0.000312
17.422,0.00025,0.000268,0.000286
17.361,0.000345,0.000367,0.00039
17.301,0.000319,0.000341,0.000365
17.241,0.000341,0.000365,0.000389
17.182,0.000352,0.000377,0.000403
17.123,0.000328,0.000354,0.000381
17.065,0.000314,0.000338,0.000363
17.007,0.000286,0.000307,0.00033
16.949,0.00036,0.000384,0.000409
16.892,0.000422,0.000448,0.000475
16.835,0.000416,0.000442,0.00047
16.779,0.000403,0.00043,0.000458
16.722,0.000385,0.000411,0.000438
16.667,0.000381,0.000407,0.000435
16.611,0.00039,0.000417,0.000444
16.556,0.000402,0.000429,0.000456
16.502,0.000399,0.000426,0.000453
16.447,0.000398,0.000424,0.000452
16.393,0.000391,0.000417,0.000445
16.34,0.000395,0.000422,0.000449
16.287,0.00043,0.000458,0.000487
16.234,0.000462,0.000491,0.000521
16.181,0.000469,0.000497,0.000527
16.129,0.000447,0.000477,0.000507
16.077,0.000445,0.000475,0.000505
16.026,0.000464,0.000493,0.000523
15.974,0.000482,0.000512,0.000542
15.924,0.000484,0.000514,0.000544
15.873,0.000488,0.000518,0.000549
15.823,0.000494,0.000524,0.000555
15.773,0.000499,0.000529,0.00056
15.723,0.000502,0.000533,0.000564
15.674,0.000506,0.000536,0.000568
15.625,0.000509,0.00054,0.000571
15.576,0.000512,0.000543,0.000575
15.528,0.000515,0.000546,0.000578
15.48,0.000518,0.000549,0.000582
15.432,0.000521,0.000553,0.000586
15.385,0.000523,0.000556,0.000589
15.337,0.000526,0.000558,0.000591
15.291,0.000528,0.000561,0.000594
15.244,0.00053,0.000563,0.000597
15.198,0.000533,0.000566,0.0006
15.152,0.000535,0.000569,0.000603
15.106,0.000538,0.000572,0.000606
15.06,0.000541,0.000575,0.00061
15.015,0.000544,0.000578,0.000613
14.97,0.000547,0.000582,0.000617
14.925,0.000549,0.000584,0.00062
14.881,0.000551,0.000586,0.000622
14.837,0.000553,0.000588,0.000624
14.793,0.000555,0.00059,0.000627
14.749,0.000558,0.000593,0.00063
14.706,0.00056,0.000596,0.000633
14.663,0.000562,0.000598,0.000636
14.62,0.000564,0.000601,0.000638
14.577,0.000566,0.000603,0.000641
14.535,0.000569,0.000606,0.000644
14.493,0.000571,0.000608,0.000646
14.451,0.000572,0.00061,0.000648
14.409,0.000574,0.000612,0.00065
14.368,0.000576,0.000614,0.000653
14.327,0.000577,0.000615,0.000655
14.286,0.000578,0.000616,0.000656
14.245,0.00058,0.000619,0.000659
14.205,0.00058,0.000619,0.00066
14.164,0.000578,0.000618,0.000659
14.124,0.000575,0.000615,0.000656
14.085,0.000568,0.000608,0.00065
14.045,0.000561,0.000602,0.000644
14.006,0.000554,0.000596,0.000639
13.966,0.000542,0.000585,0.000628
13.928,0.000568,0.00061,0.000653
13.889,0.000592,0.000633,0.000676
13.85,0.000529,0.00057,0.000612
13.812,0.000459,0.000499,0.00054
13.774,0.000423,0.00046,0.000499
13.736,0.000455,0.000493,0.000533
13.699,0.000509,0.000549,0.000591
13.661,0.000506,0.000546,0.000588
13.624,0.000484,0.000524,0.000566
13.587,0.000483,0.000524,0.000566
13.55,0.000496,0.000538,0.000583
13.514,0.000531,0.000576,0.000623
13.477,0.000508,0.00055,0.000595
13.441,0.000434,0.000473,0.000515
13.405,0.00039,0.000427,0.000466
13.369,0.000369,0.000405,0.000442
13.333,0.000339,0.000374,0.000412
13.298,0.000325,0.000362,0.000401
13.263,0.000346,0.000385,0.000426
13.228,0.00031,0.000349,0.00039
13.193,0.000217,0.000245,0.000277
13.158,0.000167,0.000189,0.000213
13.123,0.000137,0.000155,0.000176
13.089,0.000112,0.000127,0.000143
13.055,0.000102,0.000115,0.00013
13.021,0.000123,0.000138,0.000154
12.987,0.00013,0.000144,0.000161
12.953,7.79e-05,8.59e-05,9.53e-05
12.92,8.36e-05,9.17e-05,0.000101
12.887,0.00016,0.000177,0.000196
12.853,0.000142,0.000156,0.000172
12.821,7.75e-05,8.35e-05,9.05e-05
12.788,8.4e-05,8.97e-05,9.63e-05
12.755,0.000155,0.000168,0.000182
12.723,8.85e-05,9.44e-05,0.000101
12.69,4.16e-05,4.2e-05,4.28e-05
12.658,7.91e-05,8.58e-05,9.35e-05
12.626,0.000165,0.000186,0.00021
12.594,0.00018,0.000202,0.000225
12.563,0.000191,0.000209,0.000229
12.531,0.000214,0.000235,0.000258
12.5,0.000152,0.000165,0.00018
12.469,9.08e-05,0.0001,0.00011
12.438,0.000123,0.000138,0.000153
12.407,8.81e-05,9.74e-05,0.000108
12.376,0.000102,0.000112,0.000124
12.346,6.06e-05,6.45e-05,6.9e-05
12.315,5.11e-05,5.39e-05,5.72e-05
12.285,9.64e-05,0.000107,0.000119
12.255,7.19e-05,7.91e-05,8.71e-05
12.225,3.3e-05,3.3e-05,3.34e-05
12.195,3.06e-05,3.02e-05,3e-05
12.165,2.98e-05,2.93e-05,2.9e-05
12.136,4.26e-05,4.31e-05,4.38e-05
12.107,6.23e-05,6.63e-05,7.09e-05
12.077,7.64e-05,8.37e-05,9.19e-05
12.048,4.13e-05,4.27e-05,4.45e-05
12.019,2.59e-05,2.49e-05,2.4e-05
11.99,2.77e-05,2.73e-05,2.71e-05
11.962,3.21e-05,3.3e-05,3.44e-05
11.933,4.47e-05,4.74e-05,5.06e-05
11.905,7.69e-05,8.48e-05,9.37e-05
11.876,5.3e-05,5.61e-05,5.96e-05
11.848,3.12e-05,3.08e-05,3.05e-05
11.82,2.9e-05,2.84e-05,2.79e-05
11.792,4.41e-05,4.56e-05,4.73e-05
11.765,9.62e-05,0.000105,0.000114
11.737,0.000142,0.00016,0.000178
11.71,0.000108,0.000122,0.000137
11.682,5.38e-05,5.81e-05,6.3e-05
11.655,2.7e-05,2.73e-05,2.79e-05
11.628,2.72e-05,2.78e-05,2.88e-05
11.601,2.3e-05,2.23e-05,2.17e-05
11.574,4.21e-05,4.52e-05,4.87e-05
11.547,4.24e-05,4.57e-05,4.94e-05
11.521,2.22e-05,2.14e-05,2.06e-05
11.494,4.4e-05,4.58e-05,4.78e-05
11.468,4.52e-05,4.72e-05,4.94e-05
11.442,2.24e-05,2.16e-05,2.08e-05
11.416,2.27e-05,2.2e-05,2.14e-05
11.39,3.75e-05,3.93e-05,4.13e-05
11.364,4.21e-05,4.43e-05,4.69e-05
11.338,3.8e-05,3.99e-05,4.22e-05
11.312,4.71e-05,5.08e-05,5.51e-05
11.287,5.51e-05,5.82e-05,6.17e-05
11.261,5.85e-05,6.29e-05,6.79e-05
11.236,3.89e-05,4.22e-05,4.62e-05
11.211,2.65e-05,2.71e-05,2.79e-05
11.186,2.03e-05,1.96e-05,1.88e-05
11.161,2.21e-05,2.19e-05,2.18e-05
11.136,2.37e-05,2.41e-05,2.47e-05
11.111,2.08e-05,2.04e-05,2.01e-05
11.086,2.01e-05,1.95e-05,1.9e-05
11.062,2.38e-05,2.42e-05,2.49e-05
11.038,3.2e-05,3.48e-05,3.81e-05
11.013,5.55e-05,6.13e-05,6.79e-05
10.989,5.25e-05,5.76e-05,6.34e-05
10.965,2.53e-05,2.63e-05,2.75e-05
10.941,2.72e-05,2.86e-05,3.03e-05
10.917,2.59e-05,2.68e-05,2.79e-05
10.893,2.86e-05,3.01e-05,3.2e-05
10.87,3.72e-05,4.02e-05,4.38e-05
10.846,5.62e-05,6.24e-05,6.92e-05
10.823,5.22e-05,5.65e-05,6.12e-05
10.799,4.09e-05,4.33e-05,4.6e-05
10.776,2.59e-05,2.69e-05,2.83e-05
10.753,2.66e-05,2.79e-05,2.96e-05
10.73,2.52e-05,2.62e-05,2.76e-05
10.707,2.49e-05,2.61e-05,2.76e-05
10.684,2.55e-05,2.7e-05,2.89e-05
10.661,2.6e-05,2.78e-05,3.01e-05
10.638,3.13e-05,3.43e-05,3.8e-05
10.616,3.49e-05,3.88e-05,4.34e-05
10.593,3.43e-05,3.81e-05,4.26e-05
10.571,4.61e-05,5.14e-05,5.76e-05
10.549,6.73e-05,7.53e-05,8.42e-05
10.526,4.23e-05,4.67e-05,5.17e-05
10.504,3.46e-05,3.82e-05,4.25e-05
10.482,4.43e-05,4.95e-05,5.55e-05
10.46,3.9e-05,4.3e-05,4.77e-05
10.438,2.68e-05,2.92e-05,3.2e-05
10.417,2.4e-05,2.59e-05,2.82e-05
10.395,2.02e-05,2.11e-05,2.21e-05
10.373,2.36e-05,2.51e-05,2.69e-05
10.352,3.33e-05,3.7e-05,4.14e-05
10.331,3.5e-05,3.91e-05,4.4e-05
10.309,4.09e-05,4.62e-05,5.23e-05
10.288,5.56e-05,6.39e-05,7.35e-05
10.267,5.39e-05,6.15e-05,7.03e-05
10.246,5.8e-05,6.66e-05,7.65e-05
10.225,4.27e-05,4.86e-05,5.55e-05
10.204,3.16e-05,3.55e-05,4.02e-05
10.183,3.31e-05,3.75e-05,4.27e-05
10.163,3.08e-05,3.47e-05,3.93e-05
10.142,2.63e-05,2.91e-05,3.25e-05
10.121,2.71e-05,3.01e-05,3.38e-05
10.101,2.93e-05,3.28e-05,3.7e-05
10.081,3.2e-05,3.58e-05,4.04e-05
10.06,3.54e-05,3.97e-05,4.47e-05
10.04,4.06e-05,4.56e-05,5.15e-05
10.02,5.31e-05,6.04e-05,6.88e-05
10.0,6.35e-05,7.26e-05,8.31e-05
9.98,6.58e-05,7.46e-05,8.45e-05
9.96,7.47e-05,8.44e-05,9.52e-05
9.94,8.05e-05,9.09e-05,0.000103
9.921,8.72e-05,9.87e-05,0.000111
9.901,0.00011,0.000126,0.000143
9.881,0.000122,0.000139,0.000158
9.862,0.000136,0.000155,0.000175
9.843,0.000134,0.000151,0.000171
9.823,0.000146,0.000164,0.000185
9.804,0.000144,0.000162,0.000181
9.785,0.000148,0.000165,0.000184
9.766,0.00015,0.000167,0.000186
9.747,0.000154,0.000171,0.00019
9.728,0.000178,0.000199,0.000223
9.709,0.000179,0.000201,0.000225
9.69,0.000158,0.000177,0.000198
9.671,0.000152,0.000171,0.000191
9.653,0.000158,0.000178,0.000199
9.634,0.000175,0.000196,0.00022
9.615,0.000178,0.0002,0.000223
9.597,0.000122,0.000137,0.000154
9.579,8.65e-05,9.8e-05,0.000111
9.56,0.000125,0.00014,0.000157
9.542,0.000176,0.000198,0.000221
9.524,0.000208,0.000234,0.000261
9.506,0.000214,0.000239,0.000267
9.488,0.000217,0.000242,0.00027
9.47,0.000219,0.000246,0.000275
9.452,0.000196,0.000222,0.000249
9.434,0.000175,0.000199,0.000225
9.416,0.000148,0.000168,0.000191
9.398,0.00013,0.000149,0.00017
9.381,0.000139,0.00016,0.000183
9.363,8.75e-05,0.000101,0.000117
9.346,5.17e-05,6.01e-05,6.99e-05
9.328,6.09e-05,7.13e-05,8.32e-05
9.311,8.98e-05,0.000105,0.000123
9.294,6.79e-05,7.94e-05,9.24e-05
9.276,4.44e-05,5.19e-05,6.04e-05
9.259,4.98e-05,5.84e-05,6.83e-05
9.242,4.61e-05,5.41e-05,6.34e-05
9.225,3.87e-05,4.5e-05,5.24e-05
9.208,3.98e-05,4.64e-05,5.4e-05
9.191,3.32e-05,3.86e-05,4.49e-05
9.174,5.51e-05,6.47e-05,7.57e-05
9.158,5.3e-05,6.21e-05,7.24e-05
9.141,2.15e-05,2.38e-05,2.66e-05
9.124,1.8e-05,1.96e-05,2.14e-05
9.107,3.21e-05,3.64e-05,4.11e-05
9.091,8.67e-05,0.0001,0.000115
9.074,6.41e-05,7.29e-05,8.24e-05
9.058,2.26e-05,2.49e-05,2.75e-05
9.042,6.95e-05,7.98e-05,9.12e-05
9.025,6.62e-05,7.59e-05,8.65e-05
9.009,4.41e-05,4.94e-05,5.52e-05
8.993,8.3e-05,9.36e-05,0.000105
8.977,3.84e-05,4.26e-05,4.73e-05
8.961,2e-05,2.21e-05,2.45e-05
8.945,2.7e-05,3.09e-05,3.52e-05
8.929,8.59e-05,9.81e-05,0.000111
8.913,8.71e-05,9.91e-05,0.000112
8.897,2.31e-05,2.55e-05,2.82e-05
8.881,1.83e-05,1.99e-05,2.17e-05
8.865,1.71e-05,1.85e-05,2.01e-05
8.85,1.84e-05,2.01e-05,2.2e-05
8.834,2.16e-05,2.38e-05,2.64e-05
8.818,9.14e-05,0.000104,0.000118
8.803,0.000225,0.000256,0.00029
8.787,0.000122,0.000139,0.000158
8.772,2.27e-05,2.56e-05,2.9e-05
8.757,1.91e-05,2.2e-05,2.55e-05
8.741,1.56e-05,1.74e-05,1.94e-05
8.726,1.54e-05,1.68e-05,1.83e-05
8.711,6.7e-05,7.66e-05,8.71e-05
8.696,0.000101,0.000117,0.000134
8.681,0.000107,0.000124,0.000142
8.666,4.93e-05,5.66e-05,6.46e-05
8.651,1.56e-05,1.68e-05,1.82e-05
8.636,1.4e-05,1.51e-05,1.62e-05
8.621,1.56e-05,1.69e-05,1.85e-05
8.606,1.9e-05,2.08e-05,2.28e-05
8.591,9.66e-05,0.000109,0.000122
8.576,0.000122,0.000138,0.000155
8.562,3.41e-05,3.84e-05,4.31e-05
8.547,2.37e-05,2.67e-05,3e-05
8.532,6.81e-05,7.88e-05,9.07e-05
8.518,0.000236,0.00027,0.000307
8.503,0.000173,0.000197,0.000222
8.489,3.39e-05,3.86e-05,4.39e-05
8.475,3.19e-05,3.6e-05,4.05e-05
8.46,2.83e-05,3.21e-05,3.65e-05
8.446,3.22e-05,3.78e-05,4.42e-05
8.432,0.000157,0.000179,0.000204
8.418,0.000186,0.000212,0.000241
8.403,5.75e-05,6.59e-05,7.53e-05
8.389,3.55e-05,4.02e-05,4.55e-05
8.375,3.14e-05,3.6e-05,4.12e-05
8.361,7.24e-05,8.25e-05,9.38e-05
8.347,0.000172,0.000195,0.000221
8.333,9.14e-05,0.000105,0.000119
8.319,2.4e-05,2.78e-05,3.21e-05
8.306,2.67e-05,3e-05,3.38e-05
8.292,4.31e-05,4.89e-05,5.53e-05
8.278,4.23e-05,4.88e-05,5.62e-05
8.264,0.000159,0.000182,0.000207
8.251,0.000302,0.000345,0.000392
8.237,0.000158,0.000183,0.00021
8.224,7.01e-05,8.11e-05,9.33e-05
8.21,0.000156,0.000179,0.000204
8.197,0.00018,0.000208,0.000238
8.183,0.000112,0.00013,0.000149
8.17,0.00023,0.000264,0.000302
8.157,0.000273,0.000314,0.00036
8.143,0.000112,0.00013,0.00015
8.13,7.38e-05,8.5e-05,9.74e-05
8.117,3.82e-05,4.37e-05,5e-05
8.104,4.59e-05,5.26e-05,6.02e-05
8.091,0.000116,0.000131,0.000149
8.078,0.000155,0.00018,0.000206
8.065,0.000143,0.000167,0.000194
8.052,0.000205,0.000237,0.000272
8.039,0.000343,0.000391,0.000444
8.026,0.000248,0.000282,0.000319
8.013,0.000171,0.000197,0.000225
8.0,0.00015,0.00017,0.000192
7.987,0.000177,0.000199,0.000223
7.974,0.000199,0.000225,0.000253
7.962,0.000157,0.000181,0.000208
