Date,Vicki time,Conditions,1610 TE (Sky),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),AMES 3 (Sky),1610 TE (Ground),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),AMES 3 (Ground),comments
5/17/2020,16:22,overcast,NaN,-34.7,-6.1,-7.7,-Inf,49.8,51.1,52.5,52.6,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/18/2020,10:40,clear sky,NaN,NaN,-15.3,-12.3,-Inf,37.3,37.8,38.7,40.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/19/2020,10:49,overcast,4.2,1.6,11,12.2,-Inf,30.7,31.3,31.7,32.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/20/2020,10:35,clear sky,NaN,NaN,-23.7,-22.1,-Inf,32.7,34.3,35.6,35.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/21/2020,16:25,clear sky,NaN,NaN,-22.2,-22.6,-Inf,50.8,51.2,52.4,52.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/22/2020,16:40,clear sky,NaN,NaN,-15.5,-14.6,-Inf,48,47.9,50.2,50.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/23/2020,17:39,overcast,NaN,NaN,-15.8,-13.6,-Inf,46.1,47.2,48,47.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/24/2020,16:55,clear sky,NaN,NaN,-16.7,-13.7,-Inf,49,48.8,50.7,51.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/25/2020,11:01,clear sky,NaN,NaN,-15.6,-12.1,-Inf,48.9,49.8,51,50.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/26/2020,17:15,clear sky,NaN,NaN,-16.5,-13.7,-Inf,48,48.3,49.3,51.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/27/2020,17:20,clear sky,NaN,NaN,-12.4,-10,-Inf,43.3,43.8,44.7,44.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/28/2020,17:22,clear sky,NaN,-36.5,-9.4,-7.7,-Inf,52.3,53.4,54.3,53.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/29/2020,17:11,overcast,NaN,-25.5,-2,8.7,-Inf,53,52.4,52.9,50,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/30/2020,18:22,overcast,-18.3,-19.9,-7,-5.3,-Inf,39.4,39,39.2,39.6,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
5/31/2020,18:19,clear sky,NaN,-35.1,-9.6,-7.6,-Inf,39.3,40.4,40,43.9,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
6/1/2020,11:00,clear sky,NaN,-32.8,-8.2,-6.1,-Inf,39.3,41.5,41.3,40.7,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
6/2/2020,10:42,overcast,NaN,-31.9,-8.7,-6.1,-Inf,35.9,37.6,37.5,37.6,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
6/3/2020,16:35,overcast,-5,-5.4,6.6,8.8,-Inf,51.9,52,53.5,53.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
6/4/2020,10:20,clear sky,NaN,-33.5,-8.2,-5,-Inf,32.3,34.6,35.6,36.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
6/5/2020,16:20,clear sky,NaN,-31.4,-4.2,1,-Inf,59,57,57.4,57.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/6/2020,11:15,clear sky,NaN,-27.9,-3.7,-2.2,-Inf,38.8,41.3,42.9,43,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/7/2020,10:55,clear sky,NaN,NaN,-13.3,-12.7,-Inf,36.4,38.1,39.9,40.1,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/8/2020,19:16,clear sky,NaN,NaN,-25.3,-21.9,-Inf,33.5,34,34.6,35.4,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/9/2020,16:16,clear sky,NaN,NaN,-25.2,-20.2,-Inf,50.7,51,53.5,53.3,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/10/2020,10:15,clear sky,NaN,NaN,-23.2,-21.2,-Inf,28,31,33.9,33.2,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/11/2020,17:11,clear sky,NaN,-27.2,-4.4,-1.9,-Inf,52.8,54.1,54.1,53.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/12/2020,16:00,overcast,NaN,-4,10.8,6.9,-Inf,48.4,50.1,48.3,45.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/13/2020,16:07,overcast,-9.8,-8,-6.3,-5.3,-Inf,43.1,45.2,44.5,43,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/14/2020,10:47,clear sky,NaN,-32.6,-7,-5.1,-Inf,35.9,37.2,38.5,39.6,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/15/2020,15:03,overcast,-8.4,-15.3,4.6,4.6,-Inf,44.7,45.9,46.9,45.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/16/2020,16:22,overcast,1.2,-5.4,8.3,9.1,-Inf,41.5,41.4,41.6,42,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/17/2020,15:15,clear sky,NaN,NaN,-4.5,-10.4,-Inf,57.9,57.6,62,57.6,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/18/2020,17:12,clear sky,NaN,NaN,-13.4,-12.4,-Inf,54.2,55,54.9,53.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/19/2020,11:22,clear sky,NaN,NaN,-18.2,-13.3,-Inf,43,44.3,45.8,46.6,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/20/2020,10:42,clear sky,NaN,NaN,-15.2,-13,-Inf,36.3,37.1,38.4,36.2,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/21/2020,15:21,clear sky,NaN,-38.3,-8.5,-8.4,-Inf,56.1,57.2,59.5,57,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/22/2020,10:30,clear sky,NaN,NaN,-10,-7.9,-Inf,36.7,37,41.2,39.8,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/23/2020,10:45,clear sky,NaN,-30.7,-5.9,-2.9,-Inf,36.7,36.9,40.8,41.1,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/24/2020,15:05,overcast,6,0.5,12.7,13.4,-Inf,43.5,44.6,45,45.2,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/25/2020,18:25,clear sky,NaN,-30.2,-4.6,-4.2,-Inf,40.5,41.5,41.5,41.6,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/26/2020,15:35,overcast,NaN,-19.7,-1.9,-1.1,-Inf,51.7,52.2,53.7,53.4,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/27/2020,15:38,overcast,1.7,-1.4,11.6,12.5,-Inf,45,47.2,47.4,47.2,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/28/2020,17:28,overcast,3.9,-15.2,11.8,12.5,-Inf,41.9,43.7,43.3,43.9,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/29/2020,16:32,clear sky,NaN,-37.2,-7.8,-5.9,-Inf,54.6,56.1,55.8,59.8,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
6/30/2020,11:15,clear sky,NaN,NaN,-11.7,-9.4,-Inf,36.7,39.2,40.8,41.7,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
7/1/2020,16:43,clear sky,NaN,-37.2,-10.7,-7.2,-Inf,53.6,53.3,54.2,54.8,-Inf,smoke from fires in Eastern AZ and western NM overhead due to Corona virus quarantine measurement site moved to Vickis driveway
7/2/2020,10:19,overcast,NaN,-0.9,-7.4,-2.1,-Inf,32.7,33.5,36.1,37,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/3/2020,11:18,clear sky,NaN,NaN,-4.4,0.6,-Inf,42,NaN,44.9,47.8,-Inf,Flir battery depleted so did not take measurements  Due to Corona virus quarantine measurements taken in Vickis driveway
7/4/2020,11:35,clear sky,NaN,-24.8,-2.7,-1.4,-Inf,43,44.6,45.8,46.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/5/2020,15:45,overcast,NaN,-18.1,-3.9,-4.2,-Inf,50.8,51.4,52.9,52.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/6/2020,10:55,clear sky,NaN,-32,-5.3,-3,-Inf,39.7,40.6,43.5,43.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/7/2020,10:52,overcast,NaN,-34.3,-8,-5.9,-Inf,37.7,39.4,41.2,42,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/8/2020,16:13,overcast,9.9,7.2,10.2,8.9,-Inf,48,48.9,48.9,48.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/9/2020,11:20,clear sky,NaN,-33.8,-4.6,-1.7,-Inf,48.2,47.5,51.3,52.9,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/10/2020,11:09,clear sky,NaN,-34.7,-7.6,-5.5,-Inf,46.2,48.5,50.2,50.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/11/2020,16:28,overcast,NaN,-30,-3.6,-1.9,-Inf,59.6,60.3,60.3,61.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/12/2020,16:36,overcast,11.2,6.4,16.3,17.4,-Inf,38.8,41.3,39.2,39.6,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/13/2020,17:04,overcast,11.7,9.5,16,17.7,-Inf,39,39.4,39,39.4,-Inf,raining during measurement due to Corona virus quarantine measurement site moved to Vickis driveway
7/14/2020,10:35,clear sky,NaN,-26.1,-3.1,-1.6,-Inf,38.8,42.2,40.4,41,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/15/2020,18:44,overcast,10.6,7.2,15.2,16.3,-Inf,40.6,41.3,40.7,41.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/16/2020,11:30,clear sky,NaN,-25.3,-2.8,-2,-Inf,45.8,48.9,49.8,48.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/17/2020,16:55,overcast,-11.3,-18.1,2.4,3.1,-Inf,46.6,49.3,80.7,49.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/18/2020,16:37,overcast,3.9,4.4,11.2,13.4,-Inf,38.5,38.2,39,39.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/19/2020,16:36,overcast,-16,-15.4,1.3,5.9,-Inf,45.8,47.4,48.2,47.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/20/2020,15:52,overcast,-1.4,-6.4,9.2,10.2,-Inf,44.4,45.3,45.8,45.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/21/2020,10:38,overcast,NaN,-20.9,-1.1,-0.1,-Inf,36.3,36.6,37.4,37,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/22/2020,16:01,overcast,3.4,-1.9,2.7,3.2,-Inf,48,48.1,50,49.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/23/2020,11:00,overcast,-1.4,-2.5,9.2,9.8,-Inf,35.1,34,36.3,37,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/24/2020,17:38,overcast,14.4,11.7,16.5,17.6,-Inf,40.6,42.1,39.5,40.7,-Inf,raining during measurement due to Corona virus quarantine measurement site moved to Vickis driveway
7/25/2020,16:58,overcast,8.4,11.1,5.4,3.1,-Inf,43.3,43.7,43.3,42.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/26/2020,16:15,overcast,-2.2,-14,5.4,5.6,-Inf,41.9,41.8,42.1,42,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/27/2020,18:55,overcast,-16.2,-18.3,-2.7,-0.3,-Inf,37.8,39,37.7,37.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/28/2020,10:49,overcast,-2,3.3,9.1,9.5,-Inf,32.2,31.8,33.3,33.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/29/2020,10:48,clear sky,NaN,-31,-6.6,-4,-Inf,36.8,37.6,39.2,39.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/30/2020,10:36,clear sky,NaN,-39.2,-10.8,-8,-Inf,39,40,41.2,43.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
7/31/2020,11:07,clear sky,NaN,-24.5,-5.7,-1.4,-Inf,42.4,43.6,43.9,44.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/1/2020,16:30,clear sky,NaN,-29.3,-1.3,-0.2,-Inf,51.4,29.9,52.7,51.8,-Inf,measurements taken by Chris Baca and Steve White
8/2/2020,10:30,clear sky,NaN,-27.1,-4.6,-3.4,-Inf,46.1,46.3,50.8,49.4,-Inf,measurements taken by Chris Baca and Steve White
8/3/2020,10:30,clear sky,NaN,-27.9,-7.5,-4.6,-Inf,31.1,32.5,33.6,34,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/4/2020,17:12,overcast,-17.6,-24.3,2.1,3.2,-Inf,50.6,51.5,52.6,52.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/5/2020,17:01,clear sky,NaN,-26.8,-4,-25,-Inf,50,50.2,51.4,52.3,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/6/2020,10:39,clear sky,NaN,-29.8,-3.9,-3,-Inf,37.2,36.1,38.8,39,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/7/2020,13:58,overcast,5.9,2.6,16,16.4,-Inf,45.5,46.9,46.8,46.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/8/2020,16:03,overcast,-8,4.2,15.2,12.9,-Inf,58.2,58,59.3,58.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/9/2020,16:32,overcast,NaN,-30.3,-4.1,-2.2,-Inf,49.2,50.6,51.9,52.1,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/10/2020,10:52,clear sky,NaN,-34.8,-7.8,-5.4,-Inf,40.1,40.7,42.2,42.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/11/2020,11:20,clear sky,NaN,-36.9,-10.1,-7.9,-Inf,42.6,45.4,46.2,46.4,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/12/2020,16:41,overcast,5.5,2.2,11.6,12.7,-Inf,47,48.8,48.8,48.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/13/2020,10:33,clear sky,NaN,-31.4,-5.2,-3.5,-Inf,35.9,35.6,36.6,37.2,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/14/2020,10:29,clear sky,NaN,-29.9,-7.5,-6,-Inf,38.4,38.7,38.6,39.8,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/15/2020,17:00,overcast,11.2,6.2,14.5,15,-Inf,39.6,39.1,39,39.5,-Inf,due to Corona virus quarantine measurement site moved to Vickis driveway
8/16/2020,10:05,clear sky,NaN,-31.2,-8.9,-6.8,-Inf,32.7,32.4,34.5,35.4,-Inf,Vickis last set of manual measurements before moving to South Dakota taken in her driveway
8/17/2020,11:53,clear sky,NaN,-22.4,-3.3,-4,-Inf,44.8,44.7,47.7,46.6,-Inf,Fernandos first manual measurments taken in Alta apartments on Tech campus
8/18/2020,11:50,clear sky,NaN,-30.4,-6.3,-5.7,-Inf,40.8,42.9,43.4,42.6,-Inf,
8/19/2020,17:23,clear sky,NaN,-26.8,-2.5,-0.3,-Inf,46.5,47.5,48.5,48.3,-Inf,Hazy outside evening measurments measurments taken due to classes  
8/20/2020,11:53,overcast,NaN,-26.8,-4.1,-0.9,-Inf,40.3,43.1,42.4,44.2,-Inf,
8/21/2020,20:00,clear sky,NaN,-28.5,-5.2,-3.5,-Inf,39.1,39.3,39.1,39.2,-Inf,
8/22/2020,17:17,clear sky,NaN,-27.1,-1.9,-0.7,-Inf,48.5,47.5,49.8,49.2,-Inf,
8/23/2020,15:39,clear sky,NaN,-28.2,-3.6,0.4,-Inf,52.7,54.2,54.9,56.6,-Inf,
8/24/2020,10:51,clear sky,NaN,-26.1,-3.3,-0.9,-Inf,35.1,34,35.7,36,-Inf,
8/25/2020,12:15,clear sky,NaN,-26.1,0.7,4.4,-Inf,42.7,41.9,45.1,46,-Inf,
8/26/2020,10:45,clear sky,NaN,-27.3,-3.7,-0.8,-Inf,36.7,34.5,36.3,36,-Inf,
8/27/2020,17:24,overcast,-8,-5.4,7.5,8.5,-Inf,44.8,47.6,46,45.4,-Inf,
8/28/2020,13:27,clear sky,NaN,-32.3,-6.2,-5.8,-Inf,40.8,42.7,43.5,42.6,-Inf,
8/29/2020,16:47,overcast,NaN,5.6,-3.6,-0.3,-Inf,50.2,50.1,51.1,51.7,-Inf,
8/30/2020,14:55,overcast,-8.6,5.7,6.1,3.9,-Inf,50.6,52.7,53.5,53.4,-Inf,
8/31/2020,16:41,overcast,9.7,9.2,23.3,25.4,-Inf,43,43.4,43.7,43.1,-Inf,
9/1/2020,14:43,overcast,NaN,-35.4,-15.1,-13,-Inf,21,20.8,21.3,21.9,-Inf,
9/2/2020,10:47,clear sky,NaN,-36.2,-12.8,-10.8,-Inf,33.1,38.2,34.5,34,-Inf,Started talking measurements at workman once again 
9/3/2020,10:45,clear sky,NaN,-30.7,-8.4,-7.8,-Inf,36.4,36.1,38.2,38.3,-Inf,
9/4/2020,11:03,clear sky,NaN,-30.9,-6.4,-5.3,-Inf,41.5,40.6,44.1,44.8,-Inf,
9/5/2020,10:30,clear sky,NaN,-30.9,-7.1,-6.5,-Inf,36.8,36.5,38.6,39.3,-Inf,
9/6/2020,11:30,clear sky,NaN,-29.1,-5.4,-3.2,-Inf,41.5,42.8,44.1,45.9,-Inf,
9/7/2020,11:20,clear sky,NaN,-28.4,-6.4,-5.4,-Inf,37.6,36.5,38.3,39.2,-Inf,
9/8/2020,10:31,overcast,-17.3,-10.8,1.5,3.5,-Inf,28,29.6,30.9,31,-Inf,
9/9/2020,11:36,overcast,3,1.4,2.6,3.9,-Inf,15.4,14.2,13.8,14.7,-Inf,Rainy day today New Mexico experiencing a cold snap for a few days
9/10/2020,11:46,overcast,1.5,-0.8,1.7,2.4,-Inf,16.2,14.6,14.1,14.6,-Inf,
9/11/2020,11:29,clear sky,NaN,-27.4,-5.6,-4.3,-Inf,36.4,36.7,39.1,31.2,-Inf,
9/12/2020,10:34,clear sky,NaN,-30.6,-7.2,-6.4,-Inf,36.4,36.1,38.2,35.4,-Inf,
9/13/2020,17:35,clear sky,NaN,-34.6,-10.3,-9.6,-Inf,37.1,36.5,38.4,37.6,-Inf,
9/14/2020,10:45,clear sky,NaN,-35.6,-12.4,-10.6,-Inf,36.3,36.7,38.7,37.9,-Inf,
9/15/2020,17:59,clear sky,NaN,NaN,-15.6,-11.4,-Inf,37.3,40.5,39.3,37.9,-Inf,
9/16/2020,17:10,clear sky,NaN,NaN,-12.3,-8.1,-Inf,38.9,38.8,40.1,41.3,-Inf,
9/17/2020,11:13,clear sky,NaN,-34.3,-13,-11.6,-Inf,27.2,26.5,28.6,29,-Inf,
9/18/2020,15:14,clear sky,NaN,-36.5,-11.4,-10.8,-Inf,32.2,32.4,34.7,34.6,-Inf,
9/19/2020,10:45,clear sky,NaN,-36.6,-12.3,-11.5,-Inf,34.7,35.4,36.7,37.6,-Inf,
9/20/2020,10:36,clear sky,NaN,NaN,-12.9,-12.3,-Inf,36.4,33.6,24.8,35.1,-Inf,
9/21/2020,10:47,clear sky,NaN,-35.3,-11.4,-10.3,-Inf,36.3,35.2,36.4,36.7,-Inf,
9/22/2020,17:31,clear sky,NaN,-38.5,-13.6,-11.4,-Inf,35.1,35.4,37.1,37.3,-Inf,
9/23/2020,10:04,clear sky,NaN,-39.1,-15.1,-13.9,-Inf,37.6,37.8,38.2,39.1,-Inf,
9/24/2020,15:54,clear sky,NaN,NaN,-12.9,-12.4,-Inf,39.7,40.6,40.5,40.4,-Inf,
9/25/2020,10:28,clear sky,NaN,NaN,-21.4,-19,-Inf,32.5,32.9,33.2,33.2,-Inf,
9/26/2020,11:15,clear sky,NaN,-38.6,-13.9,-12,-Inf,31.9,32,34,35.3,-Inf,
9/27/2020,10:45,clear sky,NaN,-36.2,-12.8,-10.8,-Inf,33.1,38.2,34.5,34,-Inf,
9/28/2020,10:50,clear sky,NaN,-35.8,-11.5,-10.9,-Inf,36.3,36.5,38.3,38.2,-Inf,
9/29/2020,11:37,clear sky,NaN,-36.7,-13.9,-15.5,-Inf,34.3,35.2,36,34.4,-Inf,
9/30/2020,11:29,clear sky,NaN,-36.3,-14.9,-13.8,-Inf,35.5,35.7,35.5,36.2,-Inf,
10/1/2020,11:45,clear sky,NaN,-35.3,-12.4,-11.8,-Inf,32.2,32.4,34.7,34.6,-Inf,
10/2/2020,12:07,clear sky,NaN,-38.5,-15.6,-13.6,-Inf,34.7,37.9,36.7,37.6,-Inf,
10/3/2020,10:11,clear sky,NaN,-39.1,-12.3,-11.7,-Inf,36.4,36.6,37.8,36.1,-Inf,
10/4/2020,18:05,clear sky,NaN,NaN,-15.9,-14.1,-Inf,32.5,32.8,33.3,34.1,-Inf,
10/5/2020,16:00,clear sky,NaN,NaN,-17.8,-15.5,-Inf,40.5,40.5,41.9,42.3,-Inf,
10/6/2020,11:45,clear sky,NaN,NaN,-16.8,-14.5,-Inf,39.5,39.7,40.2,40.8,-Inf,
10/7/2020,17:25,clear sky,NaN,NaN,-19.9,-16.1,-Inf,39.3,39.4,39,39.2,-Inf,
10/8/2020,11:35,clear sky,NaN,-39.5,-17.7,-15.4,-Inf,38.7,39,38.6,38.9,-Inf,
10/9/2020,10:42,clear sky,NaN,NaN,-15.9,-14.1,-Inf,32.5,32.8,33.3,34.1,-Inf,
10/10/2020,10:55,clear sky,NaN,NaN,-18.9,-15.1,-Inf,38.3,38.4,38,38.2,-Inf,
10/11/2020,11:23,clear sky,NaN,-38.5,-15.6,-13.6,-Inf,34.7,37.9,36.7,37.6,-Inf,
10/12/2020,18:20,clear sky,NaN,NaN,-19.9,-16.1,-Inf,39.3,39.4,39,39.2,-Inf,
10/13/2020,16:30,clear sky,NaN,NaN,-22.2,-19,-Inf,34.3,26.1,25.7,28,-Inf,
10/14/2020,15:11,clear sky,NaN,-39.6,-16.6,-14.9,-Inf,34.7,35.6,36.9,37.1,-Inf,
10/15/2020,11:56,clear sky,NaN,-38.7,-13.9,-15.5,-Inf,34.3,35.2,36,34.4,-Inf,
10/16/2020,11:45,clear sky,NaN,-39.8,-17.3,-15.4,-Inf,28.5,28.6,29.9,30.8,-Inf,
10/17/2020,13:48,clear sky,NaN,NaN,-17,-14.9,-Inf,33.4,33.1,35.7,33.6,-Inf,
10/18/2020,16:42,clear sky,NaN,NaN,-18.1,-16.6,-Inf,35.1,34.8,37.1,36.4,-Inf,
10/19/2020,17:20,clear sky,NaN,NaN,-19.3,-17.9,-Inf,36.6,35.8,38.8,42.2,-Inf,
10/20/2020,11:45,clear sky,NaN,NaN,-23.6,-19.5,-Inf,37.4,36.6,38.6,39.2,-Inf,
10/21/2020,13:12,clear sky,NaN,NaN,-27.3,-24.9,-Inf,40.6,39.8,41.8,42.2,-Inf,
10/22/2020,11:45,clear sky,NaN,NaN,-22.8,-21.1,-Inf,43,43.4,43.7,43.1,-Inf,
10/23/2020,14:47,clear sky,NaN,NaN,-18.7,-17.1,-Inf,44.1,44.8,46.9,45.8,-Inf,
10/24/2020,11:25,overcast,9.7,9.2,23.3,25.4,-Inf,43,43.4,43.7,43.1,-Inf,
10/25/2020,10:35,overcast,4.4,2.4,9,9.3,-Inf,25.5,24.6,25.1,25.6,-Inf,
10/26/2020,11:45,overcast,-11,-13.2,-9.2,-6.4,-Inf,5.5,4.3,2.4,3.7,-Inf,
10/27/2020,17:34,overcast,-18.2,-16.7,-12.2,-11.2,-Inf,7.4,6.4,6.2,7.7,-Inf,
10/28/2020,11:45,clear sky,NaN,-36.3,-14.9,-13.8,-Inf,25.4,25.1,27.2,27.3,-Inf,
10/29/2020,10:35,clear sky,NaN,-35.3,-12.4,-Inf,-11.8,16.6,14.7,15.8,-Inf,16.6,
10/30/2020,11:22,clear sky,NaN,-38.5,-15.6,-Inf,-13.6,18.3,18.8,18.9,-Inf,19.6,
10/31/2020,13:30,clear sky,NaN,-39.1,-12.3,-Inf,-11.7,21,23.5,20.1,-Inf,21.2,
11/1/2020,11:48,clear sky,NaN,NaN,-15.9,-Inf,-14.1,26.5,25.8,27.5,-Inf,26.7,
11/2/2020,15:46,clear sky,NaN,NaN,-33.5,-Inf,-31.6,22,21.4,26.2,-Inf,26.4,
11/3/2020,12:17,clear sky,NaN,NaN,-24.4,-Inf,-23.3,24.5,23.8,25.5,-Inf,26.7,
11/4/2020,16:25,clear sky,NaN,NaN,-25.6,-Inf,-23.9,17,16.3,16.9,-Inf,17.1,
11/5/2020,11:38,clear sky,NaN,-34.5,-30,-Inf,-28.2,19.9,19.5,21.5,-Inf,21.7,
11/6/2020,11:02,clear sky,NaN,-34.5,-24.4,-Inf,-24.6,17.8,17.2,17.3,-Inf,17.4,
11/7/2020,10:50,overcast,-10.5,-14.1,-6,-Inf,-5.6,16.2,14.2,14.7,-Inf,14.8,
11/8/2020,10:18,overcast,-5.6,-6.9,-1,-Inf,0.6,13.4,10.7,11.1,-Inf,11.5,
11/9/2020,16:04,clear sky,NaN,-36.8,-23,-Inf,-21.5,16.2,14.8,15.6,-Inf,15.8,
11/10/2020,12:28,clear sky,NaN,-37.4,-25.3,-Inf,-24.6,22.5,22.2,22.7,-Inf,22.8,
11/11/2020,10:45,overcast,-4.2,-4.9,-0.9,-Inf,0.5,15.2,13.6,13.1,-Inf,13.3,
11/12/2020,15:39,overcast,NaN,-35.6,-21.6,-Inf,-19.3,13,11.9,12.1,-Inf,12.2,
11/13/2020,10:45,clear sky,NaN,-33.7,-12.9,-Inf,-13.5,12.2,14.3,11.2,-Inf,13.6,
11/14/2020,11:25,clear sky,NaN,-38.5,-18.2,-Inf,-17.6,22.5,20.2,23.2,-Inf,24.1,
