Date,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,T zenith,time of reading
9/27/2019,NaN,NaN,NaN,-40,-39.9,-32.3,-16.5,-15.1,-13.3,-15,-14.7,-12.1,10:01
9/28/2019,NaN,NaN,NaN,-38.6,-38.1,-35.1,-13.9,-14,-11.2,-12,-12.6,-10.4,10:50
9/29/2019,NaN,NaN,NaN,-36.7,-34.7,-29.4,-13.9,-12.9,-10.7,-15.5,-14,-12.9,11:27
9/30/2019,NaN,NaN,NaN,-36.3,-32.7,-26.1,-14.9,-13.1,-11.2,-13.8,-12.6,-11.1,11:11
10/2/2019,NaN,NaN,NaN,-40,-40,-40,-22.2,-21.9,-21.2,-21,-20.5,-19.9,10:02
