Date,Conditions,RH,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,Vicki time,NWS time,NWS temp,1610 TE (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
2/4/2019,clear sky,36,9.65,10.96,12.82,14.05,12:43,12:35,17,NaN,NaN,NaN,20.2,NaN,NaN,
2/5/2019,clear sky,51,10.37,4.35,18.41,14.03,10:33,10:15,12,NaN,-31.2,NaN,9.8,9.9,NaN,
2/6/2019,overcast,23,5.7,3.46,17.05,8.16,11:22,11:15,13,-13.6,-13.8,NaN,17.1,17.6,NaN,Overcast so NaN to exclude data
2/7/2019,clear sky,26,2.54,1.35,4.23,1.84,10:45,10:35,2,NaN,NaN,NaN,10.2,11.4,NaN,
2/8/2019,clear sky,16,1.46,2.34,3.7,4.67,12:17,12:15,6,NaN,-46.8,NaN,16.5,17.2,NaN,
2/9/2019,clear sky,31,3.29,8.28,9.31,8.95,11:49,11:35,10,NaN,-34.9,NaN,15.4,14,NaN,
2/10/2019,overcast,35,4.59,4.48,10.72,16.42,11:31,11:15,6.7,-17.3,-10.7,NaN,8.2,7.7,NaN,Overcast so NaN to exclude data
2/11/2019,clear sky,38,4.97,4.23,13.97,3.25,10:38,10:35,6,NaN,-44.9,NaN,13,12.4,NaN,
2/12/2019,clear sky,22,2.19,1.74,1.72,1.57,10:32,10:15,8.7,NaN,NaN,NaN,9.4,8.7,NaN,
2/13/2019,overcast,27,3.21,6.57,5.06,9.46,11:00,10:55,3.8,-17.3,-12.8,NaN,6.5,5.5,NaN,Overcast so NaN to exclude data
2/14/2019,overcast,25,9.87,20.16,12.81,22.29,10:55,10:55,2.3,NaN,-0.7,NaN,NaN,8.5,NaN,T missing and Overcast so NaN to exclude data
2/15/2019,clear sky,18,12.19,6.66,24.3,16.04,10:39,10:35,10.6,NaN,-23.4,NaN,NaN,17.4,NaN,T missing so no data
2/16/2019,clear sky,37,5.24,4.26,11.65,5.76,11:10,10:55,15.1,NaN,-40.3,NaN,NaN,11.1,NaN,T missing so no data
2/17/2019,clear sky,19,4.62,4.14,6.17,3.34,10:50,10:55,11.7,NaN,-43.3,NaN,NaN,12.7,NaN,T missing so no data
