Date,Condition,Time,KONM_Time,KONM_RH,KONM_Temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (Sky),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),AMES 3 (Sky),1610 TE (Ground),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),AMES 3 (Ground),comments
1/1/2021,overcast,10:21,10:15,34.0,2.0,2.34,5.65,5.29,4.77,NaN,NaN,-32.8,-Inf,-35,8,7.6,6.7,-Inf,7.1,
1/2/2021,clear sky,10:05,10:15,24.0,0.61,4.13,6.37,3.77,6.4,NaN,NaN,-47.3,-Inf,-45.4,3.4,4,1.6,-Inf,2.9,
1/3/2021,clear sky,10:11,10:15,42.0,2.78,4.13,7.99,3.83,7.27,NaN,NaN,-37.8,-Inf,-38.6,6.4,5,8.1,-Inf,5.7,thin clouds outside FOV
1/4/2021,clear sky,9:45,09:55,36.0,4.78,5.44,7.52,5.83,6.02,NaN,NaN,-37.5,-Inf,-35.9,3,1.5,4.3,-Inf,5.3,
1/5/2021,clear sky,16:15,16:15,17.0,14.72,7.16,4.48,8.41,5.82,NaN,NaN,-35.7,-Inf,-36,9.7,9.4,9.5,-Inf,9.3,
1/6/2021,clear sky,10:15,10:15,35.0,3.89,3.81,3.78,2.68,2.96,NaN,NaN,-46.9,-Inf,-49.9,7.4,7.5,5.8,-Inf,4,
1/7/2021,clear sky,10:00,09:55,30.0,1.72,4.86,4.83,2.7,4.17,NaN,NaN,-41.9,-Inf,-41.8,5.4,4.5,3.6,-Inf,5.7,
1/8/2021,clear sky,10:18,10:15,24.0,5.22,4.58,4.12,4.84,4.31,NaN,NaN,-40.4,-Inf,-45.1,9.7,8.2,9.8,-Inf,6.1,
1/9/2021,overcast,16:10,16:15,48.0,5.11,5.33,7.38,6.14,6.12,-12.7,-15,-17.3,-Inf,-14.6,8,5.5,-0.1,-Inf,2.1,
1/10/2021,overcast,10:17,10:15,63.0,0.72,5.72,5.24,NaN,6.1,NaN,NaN,-45,-Inf,-45.1,3,1.8,1.9,-Inf,1.5,thin wispy clouds
1/11/2021,clear sky,16:04,15:55,47.0,4.78,4.72,3.3,NaN,NaN,NaN,NaN,-43.3,-Inf,-43.9,5.4,4.2,2.9,-Inf,2.3,
1/12/2021,clear sky,9:57,09:55,56.0,-0.5,2.86,1.88,NaN,2.8,NaN,NaN,-47.7,-Inf,-43.9,2.6,1.9,1.4,-Inf,3.2,
1/13/2021,overcast,16:21,16:15,21.0,10.39,4.7,6.95,2.57,3.92,NaN,NaN,-33.3,-Inf,-33.2,2.6,8,6.8,-Inf,7.2,thin clouds
1/14/2021,clear sky,15:48,15:55,9.0,16.0,4.96,3.24,4.65,5.08,NaN,NaN,-35.6,-Inf,-34.9,11.9,12.1,10.7,-Inf,11.7,
1/15/2021,clear sky,16:04,15:55,13.0,12.22,3.49,3.25,4.28,3.48,NaN,NaN,-38,-Inf,-37.7,10.2,10.2,11.2,-Inf,9.6,
1/16/2021,overcast,10:24,10:15,33.0,2.72,7.18,5.37,3.46,5.82,-12.7,-13.2,-11.3,-Inf,-11.8,3.5,3.2,0.3,-Inf,0.3,
1/17/2021,clear sky,10:26,10:35,26.0,6.78,4.6,5.39,4.36,4.56,NaN,NaN,-41.3,-Inf,-38.9,7.4,7.6,6.8,-Inf,9,
1/18/2021,clear sky,10:08,10:15,20.0,6.61,8.13,7.3,4.17,8.39,NaN,NaN,-40.1,-Inf,-41.6,6.4,5.3,7.6,-Inf,6.5,
1/19/2021,clear sky,15:45,15:55,33.0,7.78,10.06,8.38,8.71,11.29,NaN,NaN,-38.4,-Inf,-39.1,11.9,10.3,9.1,-Inf,8.2,
1/20/2021,overcast,10:05,10:15,58.0,2.11,10.48,8.56,17.66,13.24,-1.8,-4.1,-5.9,-Inf,-6.1,6.4,5.4,0.8,-Inf,0.8,
1/21/2021,clear sky,10:25,10:35,55.0,7.28,11.31,10.08,16.36,15.62,NaN,NaN,-31,-Inf,-30.9,11.9,11.6,11.9,-Inf,12.3,
1/22/2021,overcast,10:10,10:15,98.0,2.22,7.93,8.95,12.5,9.05,0,1.6,-3.1,-Inf,-2,7.4,6.6,4.8,-Inf,4.1,
1/23/2021,clear sky,10:13,10:15,50.0,10.5,9.1,6.48,9.75,8.01,NaN,NaN,-30.6,-Inf,-33.1,10.8,9.9,11.8,-Inf,10.5,
