-31.2 11.79
-46.8 3.0425
-34.9 7.4575
-44.9 6.605
-23.4 14.7975
-40.3 6.7275
-43.3 4.5675
-43.3 4.0075
-38.4 5.2125
-45.7 3.355
-34.2 8.2725
-45.2 3.695
-41.9 2.9725
-40.9 4.73
-38.8 5.59
-27.9 9.2125
-34.4 7.48
-23.3 10.98
-31.3 7.22
-33.7 6.1425
-27.8 8.8025
-36.3 4.9325
-11.2 11.61
-37.9 8.11
-41.9 5.0675
-37.2 6.3425
-29.4 10.135
-35.7 7.5875
-30.6 8.7225
-30.5 10.665
-32.6 7.0125
-22.1 6.805
-22 6.2925
-36.1 4.765
-15.1 9.415
-26.5 7.265
-38.1 3.8425
-37.8 5.2075
-36.4 6.24
-23.3 8.165
-27.1 7.3875
-20.7 9.015
-31.1 9.3875
-22.6 9.095
-23.9 8.465
-29.2 7.855
-30.1 4.8575
-31.7 4.61
-15.5 5.5725
-28.2 9.2725
-28.6 9.4675
-27.5 6.83
-18.8 7.83
-24.9 9.1125
-24.7 13.815
-22.2 13.7375
-24.8 10.49
-14.7 12.8825
-21 10.5575
