Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
5/5/2019,9:35,09:35,clear sky,16.0,21.11,7.54,6.36,9.78,7.39,NaN,NaN,-25.4,NaN,29.5,30.2,31.7,NaN,
5/6/2019,13:22,13:15,clear sky,6.0,27.78,7.74,7.08,9.96,11.15,NaN,NaN,-5.7,NaN,43.7,45.3,47.8,NaN,
5/7/2019,10:45,10:55,overcast,22.0,18.89,7.37,7.91,10.64,9.58,-19.6,-20.8,-17,NaN,24,23.5,24.6,NaN,
5/8/2019,9:51,09:55,clear sky,32.0,16.22,10.7,13.3,8.82,14.06,NaN,NaN,-21.9,NaN,30.3,30.1,32.4,NaN,
5/9/2019,9:45,09:55,clear sky,45.0,14.0,12.55,12.41,13.31,11.03,NaN,NaN,-17.5,NaN,37.7,37.6,39.4,NaN,
5/10/2019,10:38,10:35,overcast,91.0,6.89,15.81,14.46,20.07,17.53,3.9,2.4,2,NaN,16.2,14.6,13.8,NaN,
5/11/2019,10:12,10:15,clear sky,71.0,13.28,15.23,13.55,18.39,15.71,NaN,NaN,-8.8,NaN,25.9,24.9,26.6,NaN,
5/12/2019,10:50,10:55,clear sky,49.0,17.11,13.59,12.7,17.94,20.35,NaN,NaN,-20.1,NaN,31.5,31.6,33.1,NaN,
5/13/2019,10:40,10:35,clear sky,55.0,16.5,11.98,11.21,18.31,17.2,NaN,NaN,-21.3,NaN,32.3,36.3,33.7,NaN,
5/14/2019,10:38,10:35,clear sky,31.0,20.89,11.86,9.08,13.44,11.18,NaN,NaN,-18,-16.7,34.7,35.2,36.9,37.5,
5/15/2019,11:12,11:15,clear sky,22.0,25.11,18.36,12.45,23.8,10.83,NaN,NaN,-13.2,-11.6,39.3,40.2,42.2,43.3,
5/16/2019,11:03,10:55,overcast,24.0,24.28,11.42,14.28,15.25,14.96,-10.5,-13.4,1.2,1.8,30.7,30.1,31.6,31.8,
5/17/2019,12:15,12:15,overcast,12.0,24.0,11.7,7.07,7.61,9.2,-6.8,-6.1,3.3,3.9,40.1,37.7,38,37.9,
5/18/2019,12:55,12:55,clear sky,12.0,20.28,7.34,5.26,8.94,5.43,NaN,NaN,-17.1,-20.5,42.2,41.5,45.2,45.7,
5/19/2019,12:15,12:15,overcast,15.0,17.61,9.35,8.89,8.54,11.21,-13.3,-13.8,-5.2,-4.2,22.5,22.2,22.4,22.6,
5/20/2019,14:05,14:15,clear sky,14.0,21.78,8.86,10.73,9.68,10.52,NaN,NaN,-6.8,-7.9,37.7,35.9,39.5,40.2,
5/21/2019,17:09,17:15,clear sky,14.0,21.5,9.55,8.14,6.92,6.2,NaN,NaN,-15.3,-17.9,34.7,35.8,37.1,37.1,
5/22/2019,9:51,09:55,clear sky,18.0,18.61,9.57,8.49,7.33,6.98,NaN,NaN,-26,-25.4,28.5,28.2,31.5,30.8,
5/23/2019,9:32,09:35,clear sky,20.0,20.72,7.92,5.78,9.03,9.05,NaN,NaN,-25.5,-21.2,27.6,28.5,29.6,31.7,
5/24/2019,10:35,10:35,clear sky,21.0,18.11,5.24,7.87,8.46,10.16,NaN,NaN,-26.8,-26.2,32.7,33.3,35,35.5,
5/25/2019,10:28,10:35,clear sky,14.0,22.5,7.35,7.15,9.61,14.31,NaN,NaN,-26.1,-22.3,35.1,35,36.9,37.9,
5/26/2019,11:48,11:55,clear sky,11.0,27.78,7.5,13.3,8.97,6.26,NaN,NaN,-15.8,-15.5,40.5,40.6,43.3,43.8,
5/27/2019,10:40,10:35,clear sky,13.0,22.89,6.49,6.0,8.88,6.77,NaN,NaN,-24.1,-20.9,33.9,34.4,36.7,37.6,
5/28/2019,10:22,10:15,clear sky,22.0,17.11,6.55,7.94,9.52,9.33,NaN,NaN,-29.6,-26.9,31.5,32.4,33.6,34.5,
5/29/2019,10:59,10:55,clear sky,19.0,21.72,9.81,9.49,8.77,6.16,NaN,NaN,-22.4,-18.9,37.7,37.9,39.7,40.5,
5/30/2019,14:32,14:35,overcast,11.0,26.72,11.71,10.32,8.28,8.99,NaN,-27.9,8.4,6.2,46.5,47.9,50.2,49.8,
5/31/2019,13:38,13:35,clear sky,16.0,28.22,13.41,11.46,16.29,23.69,NaN,-39.3,-9.5,-10.2,45.8,46.4,50.9,50.3,
6/1/2019,19:03,18:55,clear sky,51.0,22.5,13.95,17.1,26.85,17.3,NaN,-32,-10.2,-9.9,24,22.2,22.7,23.5,
6/2/2019,10:57,10:55,clear sky,50.0,23.0,15.77,17.74,25.91,20.27,NaN,-30.5,-8.4,-6.6,37.3,37.7,39.6,40.2,
6/3/2019,13:53,13:55,clear sky,18.0,30.61,18.22,13.71,17.09,20.1,NaN,-32.1,-1.6,-2.7,46.9,47.9,51,51.2,
6/4/2019,17:38,17:35,overcast,26.0,24.22,14.76,13.36,20.99,22.7,-9.8,-11.9,1.3,2.8,31.5,31.8,32.2,32.4,
6/5/2019,17:51,17:55,overcast,25.0,24.5,16.81,13.67,17.1,17.35,-17.6,-18.1,-2.8,-1.9,31.5,31.6,32.4,32.8,
6/6/2019,10:38,10:35,clear sky,35.0,22.39,17.39,15.09,18.7,14.57,NaN,NaN,-14.9,-12.1,35.5,35.8,37.5,38.7,
6/7/2019,9:53,09:55,overcast,22.0,26.11,15.41,12.18,14.35,16.95,NaN,-26.9,-10.9,-12,33.1,32.9,34.2,34.5,
