Date,Vicki time,NWS time,Conditions,RH,NWS temp,PW ABQ_12Z,PW ABQ_00Z,PW EPZ_12Z,PW EPZ_00Z,1610 TE (S_no),FLIRi3 (Sky),AMES 1 (Sky),AMES 2 (Sky),1610 TE (G_no),FLIRi3 (Ground),AMES 1 (Ground),AMES 2 (Ground),comments
2/23/2019,9:35,09:35,clear sky,33.0,3.11,4.92,2.77,3.69,3.4,NaN,NaN,-45.2,NaN,5.4,4.9,6.5,NaN,
2/24/2019,10:38,10:35,clear sky,37.0,3.0,2.9,2.49,2.64,3.86,NaN,NaN,-41.9,NaN,12.4,11.6,15.7,NaN,
2/25/2019,11:10,11:15,clear sky,26.0,9.39,3.56,5.6,4.65,5.11,NaN,NaN,-40.9,NaN,17.4,16.9,17.4,NaN,
2/26/2019,9:15,09:15,clear sky,38.0,7.0,6.13,4.56,6.63,5.04,NaN,NaN,-38.8,NaN,9.7,9.1,10.3,NaN,
2/27/2019,17:25,17:35,clear sky,21.0,15.39,7.86,8.4,9.45,11.14,NaN,NaN,-27.9,NaN,13.1,13.3,13.4,NaN,
2/28/2019,9:10,09:15,clear sky,30.0,11.5,7.07,8.85,7.25,6.75,NaN,NaN,-34.4,NaN,11.7,11.2,12.2,NaN,check NWS accuracy from here back
3/1/2019,13:49,13:55,overcast,11.0,20.11,7.96,7.38,6.46,7.54,-12,-11.6,-7.3,NaN,23,22.3,23.8,NaN,Overcast so NaN to exclude data
3/2/2019,17:19,17:15,clear sky,19.0,21.5,11.79,12.19,12.3,7.64,NaN,NaN,-23.3,NaN,19.1,18.6,19.1,NaN,
3/3/2019,14:36,14:35,overcast,15.0,20.89,11.62,8.15,12.69,8.95,-10.9,-9.4,-24.5,NaN,31.8,31.5,33.1,NaN,Overcast so NaN to exclude data
3/4/2019,14:01,13:55,clear sky,23.0,15.11,7.56,8.44,7.36,5.52,NaN,NaN,-31.3,NaN,30.3,33.2,34.8,NaN,
3/5/2019,10:38,10:35,clear sky,35.0,12.5,7.62,6.31,5.41,5.23,NaN,NaN,-33.7,NaN,22.5,21.4,23.4,NaN,
3/6/2019,11:45,11:55,clear sky,17.0,18.0,5.13,9.96,11.26,8.86,NaN,NaN,-27.8,NaN,26.8,26.2,29.4,NaN,
3/7/2019,9:27,09:35,overcast,21.0,15.61,7.37,5.36,12.1,10.74,NaN,-32.3,-16.4,NaN,14.5,13.6,13.9,NaN,Overcast so NaN to exclude data
3/8/2019,12:39,12:35,overcast,10.0,20.11,6.47,0.0,9.4,16.65,NaN,-27.3,-12.4,NaN,22.5,21.8,22.9,NaN,Overcast so NaN to exclude data
3/9/2019,13:10,13:15,clear sky,17.0,13.39,5.45,4.67,3.2,6.41,NaN,NaN,-36.3,NaN,29.3,28.6,30.4,NaN,
3/10/2019,11:03,10:55,clear sky,26.0,8.22,4.72,8.15,14.01,19.56,-16.7,NaN,-11.2,NaN,12.8,NaN,11.1,NaN,Dead battery on FLIR
3/11/2019,12:38,12:35,overcast,47.0,14.89,12.11,14.84,17.01,17.88,-2.2,-6.5,-10.4,NaN,26.6,25.5,28.8,NaN,Overcast so NaN to exclude data
3/12/2019,9:20,09:15,overcast,73.0,11.61,14.48,19.07,19.14,18.68,-17.6,-24.9,-16.2,NaN,14,12.6,12.4,NaN,Overcast so NaN to exclude data
3/13/2019,10:25,10:35,clear sky,38.0,9.5,8.87,5.76,9.65,8.16,NaN,NaN,-37.9,NaN,6.9,6.3,6.2,NaN,
3/14/2019,11:55,11:55,clear sky,32.0,7.22,6.1,5.71,5.47,2.99,NaN,NaN,-41.9,NaN,20.4,20.6,21.1,NaN,
3/15/2019,13:32,13:35,clear sky,26.0,10.0,5.03,4.66,6.76,8.92,NaN,NaN,-37.2,NaN,27.6,26.6,28.3,NaN,
3/16/2019,11:29,11:35,clear sky,32.0,8.78,6.68,7.1,12.54,14.22,NaN,NaN,-29.4,NaN,21,20.2,22.2,NaN,
