Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)
17:01:2019,12:00:00,17,-999.,0.037561,0.041779,-999.,-999.,0.052393,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.058778,-999.,-999.,0.067662,-999.,-999.,0.071536,0.073111,0.562280,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.705693,0.761970,0.587661,0.661245,0.336353,-999.,0,38,38,0,0,38,0,0,0,0,0,0,0,0,38,0,0,38,0,0,38,38,38,0,0,0,0,0,0,0,38,38,38,38,38,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
18:01:2019,12:00:00,18,-999.,0.026172,0.029923,-999.,-999.,0.041991,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.045295,-999.,-999.,0.053186,-999.,-999.,0.053756,0.053364,0.513762,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.772018,0.619297,0.505063,0.749370,0.014098,-999.,0,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
19:01:2019,12:00:00,19,-999.,0.024493,0.027367,-999.,-999.,0.035050,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.037090,-999.,-999.,0.044911,-999.,-999.,0.043389,0.041097,0.419296,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.647350,0.569132,0.503321,0.542611,-0.377682,-999.,0,37,37,0,0,37,0,0,0,0,0,0,0,0,37,0,0,37,0,0,37,37,37,0,0,0,0,0,0,0,37,37,37,37,37,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
20:01:2019,12:00:00,20,-999.,0.065931,0.068248,-999.,-999.,0.075347,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.074932,-999.,-999.,0.084061,-999.,-999.,0.081106,0.077964,0.481561,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.318484,0.378223,0.239826,0.213635,-0.349864,-999.,0,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
21:01:2019,12:00:00,21,-999.,0.026277,0.027999,-999.,-999.,0.034072,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.031822,-999.,-999.,0.037764,-999.,-999.,0.035760,0.033605,0.480761,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.338036,0.403070,0.167028,0.224492,-0.428782,-999.,0,10,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,10,10,10,9,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
23:01:2019,12:00:00,23,-999.,0.017121,0.018918,-999.,-999.,0.024442,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.026347,-999.,-999.,0.033223,-999.,-999.,0.029846,0.026550,0.371795,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.782929,0.447769,0.701851,0.648969,-0.318792,-999.,0,34,34,0,0,34,0,0,0,0,0,0,0,0,34,0,0,34,0,0,34,34,34,0,0,0,0,0,0,0,34,34,34,34,16,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
24:01:2019,12:00:00,24,-999.,0.016424,0.018766,-999.,-999.,0.026372,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.028901,-999.,-999.,0.036348,-999.,-999.,0.034791,0.032965,0.380270,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.870770,0.654876,0.686659,0.776286,-0.367360,-999.,0,43,44,0,0,44,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44,44,44,0,0,0,0,0,0,0,44,44,44,44,44,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
25:01:2019,12:00:00,25,-999.,0.017613,0.020203,-999.,-999.,0.027995,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.031759,-999.,-999.,0.040095,-999.,-999.,0.038987,0.037376,0.290148,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.923727,0.725151,0.790166,0.822974,-0.265416,-999.,0,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
26:01:2019,12:00:00,26,-999.,0.016426,0.018450,-999.,-999.,0.025249,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.026709,-999.,-999.,0.033561,-999.,-999.,0.030850,0.028170,0.349737,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.770597,0.496300,0.593530,0.662833,-0.421804,-999.,0,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,47,47,0,0,0,0,0,0,0,47,47,47,47,31,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
27:01:2019,12:00:00,27,-999.,0.025539,0.027054,-999.,-999.,0.034502,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.030584,-999.,-999.,0.037527,-999.,-999.,0.033497,0.031690,0.479067,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.352124,0.311045,0.097409,0.219122,-0.663402,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,28,Sevilleta,34.354721,-106.885002,1477.000000
