date	suomi_pw	aero_pw
2019-10-13	 8.279	   NaN
2019-10-14	 9.616	   NaN
2019-10-15	   NaN	   NaN
2019-10-16	   NaN	   NaN
2019-10-17	   NaN	   NaN
2019-10-18	 8.946	   NaN
2019-10-19	 7.070	   NaN
2019-10-20	 7.494	   NaN
2019-10-21	 5.788	   NaN
2019-10-22	   NaN	   NaN
2019-10-23	 7.412	   NaN
2019-10-24	 3.247	   NaN
2019-10-25	   NaN	   NaN
2019-10-26	   NaN	   NaN
2019-10-27	   NaN	   NaN
2019-10-28	   NaN	   NaN
2019-10-29	   NaN	   NaN
2019-10-30	 1.510	   NaN
2019-10-31	   NaN	   NaN
2019-11-01	   NaN	   NaN
2019-11-02	 2.962	   NaN
2019-11-03	 5.771	   NaN
2019-11-04	 5.682	   NaN
2019-11-05	   NaN	   NaN
2019-11-06	   NaN	   NaN
2019-11-07	   NaN	   NaN
2019-11-08	 7.536	   NaN
2019-11-09	   NaN	   NaN
2019-11-10	12.744	   NaN
2019-11-11	 7.957	   NaN
2019-11-12	 4.655	   NaN
2019-11-13	 5.249	   NaN
2019-11-14	 4.234	   NaN
2019-11-15	 4.386	   NaN
2019-11-16	 7.400	   NaN
2019-11-17	 6.140	   NaN
2019-11-18	 5.493	   NaN
2019-11-19	   NaN	   NaN
2019-11-20	   NaN	   NaN
2019-11-21	   NaN	   NaN
2019-11-22	 6.000	   NaN
2019-11-23	   NaN	   NaN
2019-11-24	   NaN	   NaN
2019-11-25	   NaN	   NaN
2019-11-26	   NaN	   NaN
2019-11-27	 4.377	   NaN
2019-11-28	10.286	   NaN
2019-11-29	 8.925	   NaN
2019-11-30	 5.054	   NaN
2019-12-01	   NaN	   NaN
2019-12-02	 3.548	   NaN
2019-12-03	 7.000	   NaN
2019-12-04	13.083	   NaN
2019-12-05	 8.838	   NaN
2019-12-06	   NaN	   NaN
2019-12-07	   NaN	   NaN
2019-12-08	14.810	   NaN
2019-12-09	10.494	   NaN
2019-12-10	 3.717	   NaN
2019-12-11	 1.683	   NaN
2019-12-12	 4.998	   NaN
2019-12-13	10.279	   NaN
2019-12-14	 8.698	   NaN
2019-12-15	   NaN	   NaN
2019-12-16	 3.131	   NaN
2019-12-17	 2.085	   NaN
2019-12-18	 1.560	   NaN
2019-12-19	   NaN	   NaN
2019-12-20	 2.381	   NaN
2019-12-21	 2.602	   NaN
2019-12-22	 2.187	   NaN
2019-12-23	 1.777	   NaN
2019-12-24	 8.123	   NaN
2019-12-25	 6.741	   NaN
2019-12-26	 5.271	   NaN
2019-12-27	 4.983	   NaN
2019-12-28	 4.502	   NaN
2019-12-29	 4.308	   NaN
2019-12-30	 5.713	   NaN
2019-12-31	 5.666	   NaN
2020-01-01	 5.700	   NaN
2020-01-02	 8.700	   NaN
2020-01-03	 4.900	   NaN
2020-01-04	 5.200	   NaN
2020-01-05	 2.900	   NaN
2020-01-06	 3.300	   NaN
2020-01-07	 2.900	   NaN
2020-01-08	 1.300	   NaN
2020-01-09	   NaN	   NaN
2020-01-10	 5.400	   NaN
2020-01-11	 3.200	   NaN
