daynumber, PWV(Suomi), PWV(Aero), PWV(ABQ), PWV(EPZ), PWV(wt mean)
144,0.64,NaN,0.83,0.73,0.80
145,0.75,NaN,0.70,1.04,0.81
146,0.89,NaN,1.10,0.94,1.05
147,1.01,NaN,0.93,1.41,1.09
148,1.11,NaN,1.28,1.19,1.25
149,1.43,NaN,1.55,1.35,1.48
150,1.66,NaN,1.74,2.04,1.83
151,1.68,NaN,1.93,1.81,1.89
152,1.61,NaN,2.09,1.42,1.87
153,1.44,NaN,2.04,1.60,1.90
154,1.86,NaN,2.21,2.00,2.14
155,1.88,NaN,1.66,1.86,1.72
156,1.57,NaN,1.62,1.70,1.65
157,1.37,NaN,1.35,1.91,1.53
158,1.70,NaN,1.94,2.15,2.01
159,0.46,NaN,0.77,1.03,0.86
160,0.86,NaN,0.90,1.43,1.08
161,0.63,NaN,0.42,0.38,0.41
162,0.55,NaN,0.59,0.61,0.60
163,0.68,NaN,0.75,2.10,1.20
164,1.44,NaN,1.75,2.25,1.91
165,1.59,NaN,1.94,2.28,2.05
166,1.50,NaN,1.59,1.97,1.72
167,1.56,NaN,1.75,2.15,1.88
168,1.62,NaN,1.91,2.19,2.00
169,1.06,NaN,0.95,1.96,1.28
170,0.66,NaN,0.66,0.95,0.76
171,0.59,NaN,0.67,1.39,0.91
172,0.71,NaN,1.03,1.02,1.03
173,0.88,NaN,0.88,1.19,0.98
174,1.11,NaN,NaN,NaN,NaN
175,1.40,NaN,1.83,1.79,1.82
176,1.58,NaN,1.71,2.29,1.90
177,1.40,NaN,1.47,1.75,1.56
178,1.20,NaN,1.12,2.13,1.45
179,1.26,NaN,0.91,2.08,1.29
180,1.38,NaN,1.24,2.04,1.50
181,1.09,NaN,1.22,1.90,1.45
182,1.03,NaN,0.80,1.93,1.17
183,1.13,NaN,0.99,2.31,1.42
184,1.70,NaN,1.50,2.90,1.96
185,1.98,NaN,2.03,2.73,2.26
186,1.90,NaN,2.33,2.71,2.46
187,1.69,NaN,1.71,2.34,1.92
188,1.65,NaN,1.80,2.39,2.00
189,1.67,NaN,1.69,2.80,2.06
190,1.44,NaN,1.31,2.26,1.62
191,1.67,NaN,1.50,1.94,1.65
192,1.69,NaN,1.19,1.15,1.18
193,1.53,NaN,1.25,2.37,1.62
194,1.90,NaN,1.94,1.87,1.92
195,1.96,NaN,2.50,2.04,2.35
196,1.59,NaN,2.21,2.68,2.36
197,2.08,1.94,2.24,2.87,2.45
198,2.26,1.91,2.38,2.65,2.47
199,2.31,2.07,2.36,2.82,2.51
200,2.36,2.26,2.29,3.03,2.54
201,2.33,2.04,2.05,3.12,2.40
202,2.14,1.51,1.84,3.04,2.23
203,2.04,1.93,2.13,3.17,2.47
204,2.65,NaN,2.79,3.68,3.08
205,2.69,2.69,2.95,3.80,3.23
206,2.76,2.74,3.17,3.95,3.43
207,2.85,2.74,3.18,3.84,3.40
208,2.94,3.04,3.16,3.35,3.23
209,2.72,2.74,3.00,2.91,2.97
210,2.68,2.59,3.10,2.59,2.93
211,NaN,1.58,NaN,NaN,NaN
212,NaN,1.04,1.05,2.00,1.36
213,NaN,1.63,1.82,2.39,2.01
214,NaN,1.90,1.79,2.56,2.05
215,NaN,2.01,NaN,NaN,NaN
216,NaN,2.01,NaN,NaN,NaN
217,NaN,1.56,NaN,NaN,NaN
218,NaN,1.79,NaN,NaN,NaN
219,NaN,1.84,NaN,NaN,NaN
220,NaN,1.68,1.89,2.94,2.24
221,NaN,1.65,1.73,2.72,2.06
222,NaN,1.66,1.76,2.81,2.11
223,NaN,1.33,1.57,2.45,1.86
224,NaN,1.13,1.20,2.24,1.54
225,NaN,1.41,1.53,2.36,1.80
226,NaN,1.92,1.84,2.58,2.09
227,NaN,1.64,1.93,2.48,2.11
228,NaN,1.68,2.02,2.35,2.13
229,NaN,1.64,2.02,2.51,2.18
230,NaN,1.59,1.96,2.61,2.17
231,NaN,1.66,1.97,2.10,2.01
232,NaN,1.68,1.93,2.05,1.97
233,NaN,1.32,1.74,2.33,1.93
234,NaN,1.44,NaN,NaN,NaN
235,NaN,1.38,1.71,2.36,1.92
236,NaN,1.63,1.92,2.55,2.13
237,NaN,1.67,1.95,2.51,2.14
238,NaN,1.65,1.92,1.04,1.63
239,NaN,1.88,2.14,1.97,2.09
240,NaN,2.20,2.35,2.06,2.25
241,NaN,1.90,2.21,2.17,2.19
242,NaN,1.72,2.23,2.63,2.36
243,NaN,1.79,1.96,2.94,2.29
244,2.30,1.81,1.98,3.64,2.53
245,1.84,NaN,1.72,2.83,2.09
