*****,MODTRAN3Version1.3,12/1/95,*****(WaterVapor==1)
RADIANCE(WATTS/CM2-STER-XXX)
FREQ (CM-1),WAVLEN (MICRN),PATH THERMAL (CM-1),PATH THERMAL (MICRN),SURF EMISSION (CM-1),SURF EMISSION (MICRN),SURF REFLECTED (CM-1),SURF REFLECTED (MICRN),TOTAL RADIANCE (CM-1),TOTAL RADIANCE (MICRN),INTEGRAL (CM-1),TOTAL TRANS
80.,125.000,1.23E-06,7.87E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.23E-06,7.87E-07,3.58E-05,0.00000
82.,121.951,1.28E-06,8.64E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-06,8.64E-07,3.84E-05,0.00000
84.,119.048,1.34E-06,9.46E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E-06,9.46E-07,4.11E-05,0.00000
86.,116.279,1.40E-06,1.03E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.40E-06,1.03E-06,4.39E-05,0.00000
88.,113.636,1.46E-06,1.13E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.46E-06,1.13E-06,4.68E-05,0.00000
90.,111.111,1.51E-06,1.23E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-06,1.23E-06,4.98E-05,0.00000
92.,108.696,1.57E-06,1.33E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E-06,1.33E-06,5.30E-05,0.00000
94.,106.383,1.63E-06,1.44E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-06,1.44E-06,5.62E-05,0.00000
96.,104.167,1.70E-06,1.56E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.70E-06,1.56E-06,5.96E-05,0.00000
98.,102.041,1.76E-06,1.69E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.76E-06,1.69E-06,6.31E-05,0.00000
100.,100.000,1.82E-06,1.82E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E-06,1.82E-06,6.68E-05,0.00000
102.,98.039,1.88E-06,1.96E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.88E-06,1.96E-06,7.05E-05,0.00000
