"","date","predicted","truth","bool"
"1","2019-02-13",1,2,FALSE
"2","2019-02-16",1,1,TRUE
"3","2019-02-28",1,1,TRUE
"4","2019-03-01",2,2,TRUE
"5","2019-03-10",2,1,FALSE
"6","2019-03-14",1,1,TRUE
"7","2019-03-15",1,1,TRUE
"8","2019-03-22",1,1,TRUE
"9","2019-03-27",1,1,TRUE
"10","2019-03-28",1,1,TRUE
"11","2019-03-30",1,1,TRUE
"12","2019-03-31",1,2,FALSE
"13","2019-04-03",1,1,TRUE
"14","2019-04-09",1,1,TRUE
"15","2019-04-14",1,1,TRUE
"16","2019-04-17",2,2,TRUE
"17","2019-04-18",1,1,TRUE
"18","2019-04-19",1,1,TRUE
"19","2019-04-22",1,2,FALSE
"20","2019-04-23",1,1,TRUE
"21","2019-04-27",1,1,TRUE
"22","2019-04-29",1,1,TRUE
"23","2019-05-12",1,1,TRUE
"24","2019-05-17",2,2,TRUE
"25","2019-05-22",1,1,TRUE
"26","2019-05-23",1,1,TRUE
"27","2019-06-06",1,1,TRUE
"28","2019-06-11",1,1,TRUE
"29","2019-06-15",1,1,TRUE
"30","2019-06-19",1,1,TRUE
"31","2019-07-01",2,2,TRUE
"32","2019-07-06",2,2,TRUE
"33","2019-07-10",1,1,TRUE
