"","date","predicted","truth","bool"
"1","2019-02-09",1,1,TRUE
"2","2019-02-14",2,2,TRUE
"3","2019-02-18",1,1,TRUE
"4","2019-02-19",1,1,TRUE
"5","2019-03-07",1,2,FALSE
"6","2019-03-08",1,2,FALSE
"7","2019-03-18",1,1,TRUE
"8","2019-03-22",1,1,TRUE
"9","2019-03-31",1,2,FALSE
"10","2019-04-06",1,1,TRUE
"11","2019-04-08",1,1,TRUE
"12","2019-04-11",1,2,FALSE
"13","2019-04-13",2,2,TRUE
"14","2019-04-19",1,1,TRUE
"15","2019-04-23",1,1,TRUE
"16","2019-04-24",1,1,TRUE
"17","2019-05-01",1,1,TRUE
"18","2019-05-03",1,1,TRUE
"19","2019-05-05",1,1,TRUE
"20","2019-05-10",2,2,TRUE
"21","2019-05-22",1,1,TRUE
"22","2019-05-28",1,1,TRUE
"23","2019-05-31",1,1,TRUE
"24","2019-06-06",1,1,TRUE
"25","2019-06-16",1,1,TRUE
"26","2019-06-18",1,1,TRUE
"27","2019-06-26",1,1,TRUE
"28","2019-07-02",1,1,TRUE
"29","2019-07-06",2,2,TRUE
"30","2019-07-10",1,1,TRUE
"31","2019-07-13",2,2,TRUE
"32","2019-07-17",1,1,TRUE
"33","2019-07-20",1,1,TRUE
