"","date","predicted","truth","bool"
"1","2019-02-08",1,1,TRUE
"2","2019-02-24",1,1,TRUE
"3","2019-02-25",1,1,TRUE
"4","2019-03-04",1,1,TRUE
"5","2019-03-07",1,2,FALSE
"6","2019-03-16",1,1,TRUE
"7","2019-03-17",1,1,TRUE
"8","2019-03-20",1,1,TRUE
"9","2019-03-22",1,1,TRUE
"10","2019-03-25",1,1,TRUE
"11","2019-03-27",2,1,FALSE
"12","2019-04-01",1,1,TRUE
"13","2019-04-04",1,1,TRUE
"14","2019-04-07",1,1,TRUE
"15","2019-04-09",1,1,TRUE
"16","2019-04-18",1,1,TRUE
"17","2019-04-20",2,1,FALSE
"18","2019-04-24",1,1,TRUE
"19","2019-05-06",2,1,FALSE
"20","2019-05-09",1,1,TRUE
"21","2019-05-12",1,1,TRUE
"22","2019-05-20",2,1,FALSE
"23","2019-05-24",1,1,TRUE
"24","2019-05-25",1,1,TRUE
"25","2019-05-29",1,1,TRUE
"26","2019-06-03",2,1,FALSE
"27","2019-06-05",2,2,TRUE
"28","2019-06-09",2,1,FALSE
"29","2019-06-11",1,1,TRUE
"30","2019-06-17",2,1,FALSE
"31","2019-06-26",1,1,TRUE
"32","2019-07-14",2,2,TRUE
"33","2019-07-15",2,1,FALSE
