"","date","predicted","truth","bool"
"1","2019-02-09",1,1,TRUE
"2","2019-02-14",2,2,TRUE
"3","2019-02-16",1,1,TRUE
"4","2019-02-20",1,1,TRUE
"5","2019-03-10",2,1,FALSE
"6","2019-03-13",1,1,TRUE
"7","2019-03-22",1,1,TRUE
"8","2019-03-23",1,1,TRUE
"9","2019-03-24",1,1,TRUE
"10","2019-03-27",2,1,FALSE
"11","2019-04-02",1,2,FALSE
"12","2019-04-04",1,1,TRUE
"13","2019-04-07",1,1,TRUE
"14","2019-04-19",1,1,TRUE
"15","2019-04-21",1,1,TRUE
"16","2019-04-28",1,1,TRUE
"17","2019-04-30",1,1,TRUE
"18","2019-05-05",1,1,TRUE
"19","2019-05-08",1,1,TRUE
"20","2019-05-12",1,1,TRUE
"21","2019-05-22",1,1,TRUE
"22","2019-05-26",2,1,FALSE
"23","2019-05-30",2,2,TRUE
"24","2019-06-06",2,1,FALSE
"25","2019-06-15",2,1,FALSE
"26","2019-06-24",1,1,TRUE
"27","2019-06-26",1,1,TRUE
"28","2019-07-02",2,1,FALSE
"29","2019-07-05",1,1,TRUE
"30","2019-07-06",2,2,TRUE
"31","2019-07-14",2,2,TRUE
"32","2019-07-16",2,1,FALSE
"33","2019-07-17",2,1,FALSE
