"","date","predicted","truth","bool"
"1","2019-02-05",1,1,TRUE
"2","2019-02-10",1,2,FALSE
"3","2019-02-21",1,2,FALSE
"4","2019-02-26",1,1,TRUE
"5","2019-03-04",1,1,TRUE
"6","2019-03-11",1,2,FALSE
"7","2019-03-15",1,1,TRUE
"8","2019-03-21",1,2,FALSE
"9","2019-04-04",1,1,TRUE
"10","2019-04-05",1,1,TRUE
"11","2019-04-10",1,1,TRUE
"12","2019-04-12",1,2,FALSE
"13","2019-04-13",1,2,FALSE
"14","2019-04-17",1,2,FALSE
"15","2019-04-26",1,1,TRUE
"16","2019-05-10",1,2,FALSE
"17","2019-05-15",1,1,TRUE
"18","2019-05-16",1,2,FALSE
"19","2019-05-19",1,2,FALSE
"20","2019-05-22",1,1,TRUE
"21","2019-05-26",1,1,TRUE
"22","2019-06-06",1,1,TRUE
"23","2019-06-07",1,2,FALSE
"24","2019-06-12",1,2,FALSE
"25","2019-06-14",1,1,TRUE
"26","2019-06-18",1,1,TRUE
"27","2019-06-21",1,1,TRUE
"28","2019-06-25",1,1,TRUE
"29","2019-07-03",1,1,TRUE
"30","2019-07-06",1,2,FALSE
"31","2019-07-14",1,2,FALSE
"32","2019-07-15",1,1,TRUE
"33","2019-07-17",1,1,TRUE
