"","date","predicted","truth","bool"
"1","2019-01-22",1,2,FALSE
"2","2019-02-16",1,1,TRUE
"3","2019-02-20",1,1,TRUE
"4","2019-02-22",1,1,TRUE
"5","2019-02-23",1,1,TRUE
"6","2019-02-28",1,1,TRUE
"7","2019-03-05",1,1,TRUE
"8","2019-03-06",1,1,TRUE
"9","2019-03-16",1,1,TRUE
"10","2019-03-27",1,1,TRUE
"11","2019-04-07",1,1,TRUE
"12","2019-04-17",2,2,TRUE
"13","2019-04-22",1,2,FALSE
"14","2019-05-06",1,1,TRUE
"15","2019-05-07",1,2,FALSE
"16","2019-05-09",1,1,TRUE
"17","2019-05-10",1,2,FALSE
"18","2019-05-14",1,1,TRUE
"19","2019-05-20",1,1,TRUE
"20","2019-05-23",1,1,TRUE
"21","2019-05-30",1,2,FALSE
"22","2019-05-31",1,1,TRUE
"23","2019-06-01",1,1,TRUE
"24","2019-06-03",1,1,TRUE
"25","2019-06-05",1,2,FALSE
"26","2019-06-07",1,2,FALSE
"27","2019-06-10",1,2,FALSE
"28","2019-06-21",1,1,TRUE
"29","2019-06-22",1,1,TRUE
"30","2019-06-26",1,1,TRUE
"31","2019-06-30",1,1,TRUE
"32","2019-07-03",1,1,TRUE
"33","2019-07-19",1,1,TRUE
