"","date","predicted","truth","bool"
"1","2019-01-29",1,2,FALSE
"2","2019-02-06",2,2,TRUE
"3","2019-02-10",2,2,TRUE
"4","2019-02-19",1,1,TRUE
"5","2019-02-23",1,1,TRUE
"6","2019-02-26",1,1,TRUE
"7","2019-03-01",2,2,TRUE
"8","2019-03-05",1,1,TRUE
"9","2019-03-07",1,2,FALSE
"10","2019-03-20",1,1,TRUE
"11","2019-03-23",1,1,TRUE
"12","2019-03-30",1,1,TRUE
"13","2019-04-04",1,1,TRUE
"14","2019-04-06",1,1,TRUE
"15","2019-04-07",1,1,TRUE
"16","2019-04-18",1,1,TRUE
"17","2019-04-23",1,1,TRUE
"18","2019-04-24",1,1,TRUE
"19","2019-04-27",1,1,TRUE
"20","2019-05-06",2,1,FALSE
"21","2019-05-11",2,1,FALSE
"22","2019-05-21",1,1,TRUE
"23","2019-05-25",1,1,TRUE
"24","2019-05-28",1,1,TRUE
"25","2019-05-29",1,1,TRUE
"26","2019-06-05",2,2,TRUE
"27","2019-06-06",1,1,TRUE
"28","2019-06-09",1,1,TRUE
"29","2019-06-10",1,2,FALSE
"30","2019-06-14",1,1,TRUE
"31","2019-06-17",2,1,FALSE
"32","2019-06-26",1,1,TRUE
"33","2019-07-10",1,1,TRUE
