"","date","predicted","truth","bool"
"1","2019-01-29",1,2,FALSE
"2","2019-02-03",2,2,TRUE
"3","2019-02-08",1,1,TRUE
"4","2019-02-09",1,1,TRUE
"5","2019-02-15",1,1,TRUE
"6","2019-02-19",1,1,TRUE
"7","2019-02-27",1,1,TRUE
"8","2019-02-28",1,1,TRUE
"9","2019-03-11",2,2,TRUE
"10","2019-03-16",1,1,TRUE
"11","2019-03-20",1,1,TRUE
"12","2019-03-29",1,1,TRUE
"13","2019-04-22",1,2,FALSE
"14","2019-04-25",1,1,TRUE
"15","2019-05-02",1,1,TRUE
"16","2019-05-06",2,1,FALSE
"17","2019-05-10",2,2,TRUE
"18","2019-05-19",2,2,TRUE
"19","2019-05-21",1,1,TRUE
"20","2019-05-24",1,1,TRUE
"21","2019-05-26",1,1,TRUE
"22","2019-06-10",1,2,FALSE
"23","2019-06-13",2,2,TRUE
"24","2019-06-14",1,1,TRUE
"25","2019-06-25",2,1,FALSE
"26","2019-06-28",1,1,TRUE
"27","2019-06-30",1,1,TRUE
"28","2019-07-06",2,2,TRUE
"29","2019-07-07",1,1,TRUE
"30","2019-07-09",1,1,TRUE
"31","2019-07-12",1,1,TRUE
"32","2019-07-13",2,2,TRUE
"33","2019-07-20",1,1,TRUE
