"","date","predicted","truth","bool"
"1","2019-02-06",2,2,TRUE
"2","2019-02-08",1,1,TRUE
"3","2019-02-20",1,1,TRUE
"4","2019-02-23",1,1,TRUE
"5","2019-03-02",1,1,TRUE
"6","2019-03-17",1,1,TRUE
"7","2019-03-19",1,2,FALSE
"8","2019-03-20",1,1,TRUE
"9","2019-03-21",2,2,TRUE
"10","2019-03-22",1,1,TRUE
"11","2019-03-25",1,1,TRUE
"12","2019-04-05",1,1,TRUE
"13","2019-04-10",1,1,TRUE
"14","2019-04-14",1,1,TRUE
"15","2019-04-25",1,1,TRUE
"16","2019-04-26",1,1,TRUE
"17","2019-04-28",1,1,TRUE
"18","2019-05-01",1,1,TRUE
"19","2019-05-03",1,1,TRUE
"20","2019-05-08",1,1,TRUE
"21","2019-05-11",2,1,FALSE
"22","2019-05-15",2,1,FALSE
"23","2019-05-20",2,1,FALSE
"24","2019-06-14",1,1,TRUE
"25","2019-06-18",1,1,TRUE
"26","2019-06-23",2,1,FALSE
"27","2019-06-28",1,1,TRUE
"28","2019-07-01",2,2,TRUE
"29","2019-07-02",1,1,TRUE
"30","2019-07-05",1,1,TRUE
"31","2019-07-08",1,1,TRUE
"32","2019-07-10",1,1,TRUE
"33","2019-07-13",2,2,TRUE
