"","date","predicted","truth","bool"
"1","2019-01-22",2,2,TRUE
"2","2019-02-08",1,1,TRUE
"3","2019-02-16",1,1,TRUE
"4","2019-02-18",1,1,TRUE
"5","2019-02-20",1,1,TRUE
"6","2019-02-23",1,1,TRUE
"7","2019-02-25",1,1,TRUE
"8","2019-03-02",1,1,TRUE
"9","2019-03-06",1,1,TRUE
"10","2019-03-12",1,2,FALSE
"11","2019-03-20",1,1,TRUE
"12","2019-03-21",2,2,TRUE
"13","2019-03-22",1,1,TRUE
"14","2019-03-28",1,1,TRUE
"15","2019-03-29",1,1,TRUE
"16","2019-03-30",1,1,TRUE
"17","2019-04-07",1,1,TRUE
"18","2019-04-19",1,1,TRUE
"19","2019-04-22",1,2,FALSE
"20","2019-04-23",1,1,TRUE
"21","2019-04-29",1,1,TRUE
"22","2019-05-05",1,1,TRUE
"23","2019-05-08",1,1,TRUE
"24","2019-05-12",1,1,TRUE
"25","2019-05-16",2,2,TRUE
"26","2019-06-02",2,1,FALSE
"27","2019-06-28",2,1,FALSE
"28","2019-07-02",2,1,FALSE
"29","2019-07-12",1,1,TRUE
"30","2019-07-15",2,1,FALSE
"31","2019-07-16",2,1,FALSE
"32","2019-07-19",2,1,FALSE
"33","2019-07-20",2,1,FALSE
