"","date","predicted","truth","bool"
"1","2019-02-10",1,2,FALSE
"2","2019-02-17",1,1,TRUE
"3","2019-02-18",1,1,TRUE
"4","2019-02-24",1,1,TRUE
"5","2019-02-25",1,1,TRUE
"6","2019-03-12",1,2,FALSE
"7","2019-03-15",1,1,TRUE
"8","2019-03-24",1,1,TRUE
"9","2019-03-30",1,1,TRUE
"10","2019-04-04",1,1,TRUE
"11","2019-04-12",2,2,TRUE
"12","2019-04-13",2,2,TRUE
"13","2019-04-28",1,1,TRUE
"14","2019-04-30",1,1,TRUE
"15","2019-05-02",1,1,TRUE
"16","2019-05-03",1,1,TRUE
"17","2019-05-06",2,1,FALSE
"18","2019-05-14",1,1,TRUE
"19","2019-05-17",2,2,TRUE
"20","2019-05-20",2,1,FALSE
"21","2019-05-24",1,1,TRUE
"22","2019-05-26",1,1,TRUE
"23","2019-06-01",1,1,TRUE
"24","2019-06-02",1,1,TRUE
"25","2019-06-03",1,1,TRUE
"26","2019-06-05",1,2,FALSE
"27","2019-06-08",1,1,TRUE
"28","2019-06-09",1,1,TRUE
"29","2019-06-14",1,1,TRUE
"30","2019-06-20",1,1,TRUE
"31","2019-07-05",1,1,TRUE
"32","2019-07-08",1,1,TRUE
"33","2019-07-14",1,2,FALSE
