"","date","predicted","truth","bool"
"1","2019-02-06",1,2,FALSE
"2","2019-02-19",1,1,TRUE
"3","2019-02-22",1,1,TRUE
"4","2019-02-25",1,1,TRUE
"5","2019-03-01",2,2,TRUE
"6","2019-03-02",1,1,TRUE
"7","2019-03-05",1,1,TRUE
"8","2019-03-14",1,1,TRUE
"9","2019-03-20",1,1,TRUE
"10","2019-03-22",1,1,TRUE
"11","2019-03-26",1,1,TRUE
"12","2019-03-28",1,1,TRUE
"13","2019-03-29",1,1,TRUE
"14","2019-04-02",1,2,FALSE
"15","2019-04-03",1,1,TRUE
"16","2019-04-04",1,1,TRUE
"17","2019-04-12",2,2,TRUE
"18","2019-05-01",1,1,TRUE
"19","2019-05-10",2,2,TRUE
"20","2019-05-19",2,2,TRUE
"21","2019-06-01",1,1,TRUE
"22","2019-06-05",1,2,FALSE
"23","2019-06-09",1,1,TRUE
"24","2019-06-14",1,1,TRUE
"25","2019-06-23",1,1,TRUE
"26","2019-06-25",2,1,FALSE
"27","2019-06-28",1,1,TRUE
"28","2019-07-04",1,1,TRUE
"29","2019-07-05",1,1,TRUE
"30","2019-07-06",2,2,TRUE
"31","2019-07-10",1,1,TRUE
"32","2019-07-11",1,1,TRUE
"33","2019-07-20",1,1,TRUE
