"","date","predicted","truth","bool"
"1","2019-02-18",1,1,TRUE
"2","2019-02-23",1,1,TRUE
"3","2019-02-25",1,1,TRUE
"4","2019-03-04",1,1,TRUE
"5","2019-03-11",2,2,TRUE
"6","2019-03-12",1,2,FALSE
"7","2019-03-20",1,1,TRUE
"8","2019-03-23",1,1,TRUE
"9","2019-03-24",1,1,TRUE
"10","2019-03-28",1,1,TRUE
"11","2019-04-01",1,1,TRUE
"12","2019-04-02",1,2,FALSE
"13","2019-04-09",1,1,TRUE
"14","2019-04-21",1,1,TRUE
"15","2019-05-01",1,1,TRUE
"16","2019-05-05",1,1,TRUE
"17","2019-05-09",1,1,TRUE
"18","2019-05-10",2,2,TRUE
"19","2019-05-11",2,1,FALSE
"20","2019-05-14",1,1,TRUE
"21","2019-05-15",1,1,TRUE
"22","2019-05-21",1,1,TRUE
"23","2019-05-27",1,1,TRUE
"24","2019-06-13",2,2,TRUE
"25","2019-06-23",2,1,FALSE
"26","2019-06-25",2,1,FALSE
"27","2019-06-28",1,1,TRUE
"28","2019-06-29",1,1,TRUE
"29","2019-07-01",2,2,TRUE
"30","2019-07-11",1,1,TRUE
"31","2019-07-12",1,1,TRUE
"32","2019-07-13",2,2,TRUE
"33","2019-07-16",1,1,TRUE
