"","date","predicted","truth","bool"
"1","2019-01-29",1,2,FALSE
"2","2019-02-03",1,2,FALSE
"3","2019-02-16",1,1,TRUE
"4","2019-03-04",1,1,TRUE
"5","2019-03-05",1,1,TRUE
"6","2019-03-11",1,2,FALSE
"7","2019-03-25",1,1,TRUE
"8","2019-04-03",1,1,TRUE
"9","2019-04-05",1,1,TRUE
"10","2019-04-08",1,1,TRUE
"11","2019-04-13",1,2,FALSE
"12","2019-04-14",1,1,TRUE
"13","2019-04-15",1,1,TRUE
"14","2019-04-16",1,1,TRUE
"15","2019-04-18",1,1,TRUE
"16","2019-04-21",1,1,TRUE
"17","2019-04-24",1,1,TRUE
"18","2019-04-29",1,1,TRUE
"19","2019-04-30",1,1,TRUE
"20","2019-05-06",1,1,TRUE
"21","2019-05-12",1,1,TRUE
"22","2019-05-16",1,2,FALSE
"23","2019-05-17",1,2,FALSE
"24","2019-05-20",1,1,TRUE
"25","2019-05-21",1,1,TRUE
"26","2019-05-25",1,1,TRUE
"27","2019-06-01",1,1,TRUE
"28","2019-06-02",1,1,TRUE
"29","2019-06-14",1,1,TRUE
"30","2019-06-20",1,1,TRUE
"31","2019-06-23",1,1,TRUE
"32","2019-07-01",1,2,FALSE
"33","2019-07-03",1,1,TRUE
