"","date","predicted","truth","bool"
"1","2019-01-22",1,2,FALSE
"2","2019-02-05",1,1,TRUE
"3","2019-02-08",1,1,TRUE
"4","2019-02-21",1,2,FALSE
"5","2019-02-22",1,1,TRUE
"6","2019-03-01",1,2,FALSE
"7","2019-03-08",1,2,FALSE
"8","2019-03-14",1,1,TRUE
"9","2019-03-19",1,2,FALSE
"10","2019-03-26",1,1,TRUE
"11","2019-03-27",1,1,TRUE
"12","2019-04-04",1,1,TRUE
"13","2019-04-14",1,1,TRUE
"14","2019-04-16",1,1,TRUE
"15","2019-04-19",1,1,TRUE
"16","2019-04-23",1,1,TRUE
"17","2019-05-05",1,1,TRUE
"18","2019-05-18",1,1,TRUE
"19","2019-05-23",1,1,TRUE
"20","2019-05-27",1,1,TRUE
"21","2019-06-03",1,1,TRUE
"22","2019-06-10",1,2,FALSE
"23","2019-06-14",1,1,TRUE
"24","2019-06-20",1,1,TRUE
"25","2019-06-22",1,1,TRUE
"26","2019-06-27",1,2,FALSE
"27","2019-06-28",1,1,TRUE
"28","2019-07-03",1,1,TRUE
"29","2019-07-04",1,1,TRUE
"30","2019-07-07",1,1,TRUE
"31","2019-07-08",1,1,TRUE
"32","2019-07-11",1,1,TRUE
"33","2019-07-16",1,1,TRUE
