"","date","predicted","truth","bool"
"1","2019-02-24",1,1,TRUE
"2","2019-03-02",1,1,TRUE
"3","2019-03-08",1,2,FALSE
"4","2019-03-11",2,2,TRUE
"5","2019-03-12",1,2,FALSE
"6","2019-03-15",1,1,TRUE
"7","2019-03-21",2,2,TRUE
"8","2019-03-22",1,1,TRUE
"9","2019-03-26",1,1,TRUE
"10","2019-03-28",1,1,TRUE
"11","2019-04-05",1,1,TRUE
"12","2019-04-06",1,1,TRUE
"13","2019-04-07",1,1,TRUE
"14","2019-04-23",1,1,TRUE
"15","2019-04-24",1,1,TRUE
"16","2019-04-28",1,1,TRUE
"17","2019-05-06",2,1,FALSE
"18","2019-05-08",1,1,TRUE
"19","2019-05-20",2,1,FALSE
"20","2019-05-27",1,1,TRUE
"21","2019-06-03",1,1,TRUE
"22","2019-06-06",1,1,TRUE
"23","2019-06-10",1,2,FALSE
"24","2019-06-13",2,2,TRUE
"25","2019-06-20",1,1,TRUE
"26","2019-06-25",2,1,FALSE
"27","2019-06-27",2,2,TRUE
"28","2019-07-03",1,1,TRUE
"29","2019-07-08",1,1,TRUE
"30","2019-07-13",2,2,TRUE
"31","2019-07-15",1,1,TRUE
"32","2019-07-17",1,1,TRUE
"33","2019-07-20",1,1,TRUE
